s1_entity_id	candidate_entity_id	blocking_methods	num_blockers	max_block_score
S1-103306793	S2-797524038	name_fuzzy	1	0.6190476190476191
S1-103306793	S2-841077156	address	1	3.0
S1-103306793	S2-844623850	address,name_fuzzy	2	4.0
S1-103306793	S2-847711012	name_token	1	2.0
S1-103306793	S2-875324916	name_char_tfidf,name_fuzzy	2	0.5714285714285714
S1-103306793	S2-88719371	name_fuzzy	1	0.5777777777777777
S1-103306793	S2-899968814	name_fuzzy,name_token	2	2.0
S1-103306793	S2-906109973	address	1	3.0
S1-103306793	S2-906124386	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-103306793	S2-91953644	address	1	3.0
S1-103306793	S2-941774179	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-103306793	S2-972074978	address	1	3.0
S1-103306793	S3-10014949	address	1	3.0
S1-103306793	S3-116575160	name_char_tfidf,name_token	2	2.0
S1-103306793	S3-13102607	name_fuzzy	1	0.6666666666666667
S1-103306793	S3-143844743	address	1	3.0
S1-103306793	S3-164486489	name_token	1	2.0
S1-103306793	S3-16493307	address	1	3.0
S1-103306793	S3-172378613	address	1	3.0
S1-103306793	S3-174036202	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-103306793	S3-176929729	name_char_tfidf,name_token	2	2.0
S1-103306793	S3-180722006	address	1	3.0
S1-103306793	S3-181734254	name_char_tfidf,name_fuzzy	2	0.6285714285714286
S1-103306793	S3-185897775	name_token	1	2.0
S1-103306793	S3-197119350	name_fuzzy	1	0.5957446808510638
S1-103306793	S3-200319274	name_fuzzy	1	0.6
S1-103306793	S3-204818060	address	1	4.0
S1-103306793	S3-208295684	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-103306793	S3-283060533	name_token	1	2.0
S1-103306793	S3-289808160	address	1	3.0
S1-103306793	S3-290926141	name_token	1	2.0
S1-103306793	S3-304875519	name_fuzzy	1	0.55
S1-103306793	S3-307730141	name_token	1	2.0
S1-103306793	S3-316008446	address	1	3.0
S1-103306793	S3-330656133	name_token	1	2.0
S1-103306793	S3-330783305	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-103306793	S3-337213390	address	1	3.0
S1-103306793	S3-344472036	address	1	4.0
S1-103306793	S3-346840193	address	1	3.0
S1-103306793	S3-363480261	name_token	1	2.0
S1-103306793	S3-452382509	name_token	1	2.0
S1-103306793	S3-455995694	name_char_tfidf,name_fuzzy	2	0.56
S1-103306793	S3-464443424	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-103306793	S3-480768976	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-103306793	S3-517375803	name_token	1	2.0
S1-103306793	S3-563558978	address	1	2.0
S1-103306793	S3-566175539	name_token	1	2.0
S1-103306793	S3-569625706	address,name_char_tfidf,name_fuzzy	3	3.0
S1-103306793	S3-575506249	name_char_tfidf,name_token	2	2.0
S1-103306793	S3-578657873	name_fuzzy	1	0.5652173913043479
S1-103306793	S3-592390368	name_token	1	2.0
S1-103306793	S3-619230254	name_token	1	2.0
S1-103306793	S3-658852159	address,name_fuzzy	2	3.0
S1-103306793	S3-673213289	name_token	1	2.0
S1-103306793	S3-695334106	name_token	1	2.0
S1-103306793	S3-696776045	name_fuzzy	1	0.631578947368421
S1-103306793	S3-79840211	name_char_tfidf,name_token	2	2.0
S1-103306793	S3-806305714	name_fuzzy	1	0.6470588235294117
S1-103306793	S3-81271385	name_char_tfidf,name_token	2	2.0
S1-103306793	S3-855882420	name_char_tfidf,name_fuzzy	2	0.5531914893617021
S1-103306793	S3-864574709	address	1	3.0
S1-103306793	S3-865411191	address	1	2.0
S1-103306793	S3-896717404	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-103306793	S3-939665060	name_char_tfidf,name_fuzzy	2	0.6046511627906976
S1-103306793	S3-994118635	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-10580196	S2-10290865	name_fuzzy	1	0.6153846153846154
S1-10580196	S2-122798400	name_token	1	2.0
S1-10580196	S2-157133082	name_token	1	2.0
S1-10580196	S2-161911053	name_fuzzy,name_token	2	2.0
S1-10580196	S2-169503815	name_token	1	2.0
S1-10580196	S2-1757255	name_fuzzy	1	0.5833333333333333
S1-10580196	S2-196833874	name_fuzzy	1	0.56
S1-10580196	S2-203532020	name_token	1	2.0
S1-10580196	S2-218526638	name_token	1	2.0
S1-10580196	S2-266243650	name_token	1	2.0
S1-10580196	S2-34357118	name_char_tfidf,name_fuzzy,name_token	3	4.0
S1-10580196	S2-389417747	name_fuzzy	1	0.6086956521739131
S1-10580196	S2-434897211	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-10580196	S2-446277953	name_fuzzy	1	0.56
S1-10580196	S2-454835742	name_fuzzy	1	0.5714285714285714
S1-10580196	S2-471209755	name_token	1	2.0
S1-10580196	S2-494165299	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-10580196	S2-590442180	name_token	1	2.0
S1-10580196	S2-638817518	name_token	1	2.0
S1-10580196	S2-641570604	name_fuzzy	1	0.5806451612903225
S1-10580196	S2-642544829	name_token	1	2.0
S1-10580196	S2-657571777	name_token	1	2.0
S1-10580196	S2-660390669	name_token	1	2.0
S1-10580196	S2-67328948	name_token	1	2.0
S1-10580196	S2-688107202	name_token	1	2.0
S1-10580196	S2-700795294	name_token	1	2.0
S1-10580196	S2-70252627	name_fuzzy	1	0.56
S1-10580196	S2-709918719	name_fuzzy,name_token	2	2.0
S1-10580196	S2-754921211	name_token	1	2.0
S1-10580196	S2-774219188	name_fuzzy	1	0.5714285714285714
S1-10580196	S2-779765841	name_fuzzy	1	0.56
S1-10580196	S2-7885562	name_token	1	2.0
S1-10580196	S2-795621883	name_token	1	2.0
S1-10580196	S2-802476727	name_fuzzy	1	0.5806451612903225
S1-10580196	S2-806153030	address,name_char_tfidf,name_fuzzy,name_token	4	4.0
S1-10580196	S2-839434280	name_fuzzy,name_token	2	2.0
S1-10580196	S2-888491400	name_fuzzy	1	0.6206896551724138
S1-10580196	S2-99148267	name_token	1	2.0
S1-10580196	S3-121313897	name_fuzzy,name_token	2	2.0
S1-10580196	S3-128008293	name_token	1	2.0
S1-10580196	S3-137986399	name_fuzzy,name_token	2	2.0
S1-10580196	S3-223081834	name_token	1	2.0
S1-10580196	S3-249620518	name_token	1	2.0
S1-10580196	S3-256408366	name_fuzzy,name_token	2	2.0
S1-10580196	S3-266159321	name_char_tfidf	1	0.499476122004742
S1-10580196	S3-289646526	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-10580196	S3-301243934	name_token	1	2.0
S1-10580196	S3-316659375	name_token	1	2.0
S1-10580196	S3-338203538	name_char_tfidf,name_token	2	2.0
S1-10580196	S3-414380274	name_token	1	2.0
S1-10580196	S3-418151077	name_fuzzy	1	0.5625
S1-10580196	S3-425990451	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-10580196	S3-449154622	address,name_char_tfidf,name_fuzzy,name_token	4	2.0
S1-10580196	S3-452177012	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-10580196	S3-454739569	name_fuzzy	1	0.5625
S1-10580196	S3-593487052	name_token	1	2.0
S1-10580196	S3-662142027	name_token	1	2.0
S1-10580196	S3-668799784	name_fuzzy	1	0.5806451612903225
S1-10580196	S3-728104101	name_token	1	2.0
S1-10580196	S3-736117903	address,name_char_tfidf,name_fuzzy,name_token	4	3.0
S1-10580196	S3-758901704	name_token	1	2.0
S1-10580196	S3-782262155	name_fuzzy	1	0.5517241379310345
S1-10580196	S3-831803271	name_fuzzy	1	0.5806451612903225
S1-10580196	S3-850906429	name_fuzzy	1	0.5641025641025641
S1-10580196	S3-855213535	name_token	1	2.0
S1-10580196	S3-878570399	name_fuzzy,name_token	2	2.0
S1-10580196	S3-883422015	name_fuzzy,name_token	2	2.0
S1-10580196	S3-90360043	name_fuzzy	1	0.5714285714285714
S1-10580196	S3-953045012	name_fuzzy,name_token	2	2.0
S1-10580196	S3-970441939	name_fuzzy	1	0.5945945945945945
S1-10580196	S3-992336892	name_token	1	2.0
S1-106307602	S2-115343573	name_fuzzy	1	0.6
S1-106307602	S2-117445211	name_fuzzy	1	0.5909090909090908
S1-106307602	S2-126193689	name_token	1	2.0
S1-106307602	S2-157133082	name_fuzzy,name_token	2	4.0
S1-106307602	S2-162876419	name_char_tfidf,name_fuzzy,name_token	3	4.0
S1-106307602	S2-199736172	name_token	1	2.0
S1-106307602	S2-212940261	name_token	1	4.0
S1-106307602	S2-248822029	name_fuzzy,name_token	2	4.0
S1-106307602	S2-249548718	name_token	1	2.0
S1-106307602	S2-253659647	name_char_tfidf,name_fuzzy,name_token	3	4.0
S1-106307602	S2-29309415	name_fuzzy	1	0.6060606060606061
S1-106307602	S2-312992362	name_token	1	2.0
S1-106307602	S2-32633855	name_char_tfidf,name_fuzzy,name_token	3	4.0
S1-106307602	S2-327142781	name_char_tfidf,name_token	2	4.0
S1-106307602	S2-3789375	name_char_tfidf	1	0.4924448654461354
S1-106307602	S2-395653740	name_char_tfidf,name_fuzzy,name_token	3	4.0
S1-106307602	S2-396971336	name_token	1	2.0
S1-106307602	S2-399224347	name_fuzzy	1	0.6
S1-106307602	S2-405980741	name_token	1	2.0
S1-106307602	S2-413323614	name_char_tfidf,name_fuzzy,name_token	3	4.0
S1-106307602	S2-417029606	name_fuzzy	1	0.631578947368421
S1-106307602	S2-454314919	name_char_tfidf,name_fuzzy,name_token	3	4.0
S1-106307602	S2-477075842	name_fuzzy	1	0.6060606060606061
S1-106307602	S2-482634775	name_fuzzy	1	0.6111111111111112
S1-106307602	S2-497478833	name_fuzzy	1	0.6842105263157895
S1-106307602	S2-497876044	name_token	1	2.0
S1-106307602	S2-537173799	name_token	1	2.0
S1-106307602	S2-559719590	address,name_char_tfidf,name_fuzzy,name_token	4	6.0
S1-106307602	S2-612545816	name_fuzzy	1	0.631578947368421
S1-106307602	S2-656743484	name_token	1	4.0
S1-106307602	S2-673551690	name_fuzzy,name_token	2	2.0
S1-106307602	S2-690176992	name_fuzzy	1	0.6153846153846154
S1-106307602	S2-718009278	name_fuzzy	1	0.6206896551724138
S1-106307602	S2-750402615	name_char_tfidf,name_token	2	4.0
S1-106307602	S2-82256501	name_fuzzy	1	0.6046511627906976
S1-106307602	S2-847576008	name_fuzzy	1	0.6111111111111112
S1-106307602	S2-851878972	name_fuzzy	1	0.6111111111111112
S1-106307602	S2-895762437	name_token	1	2.0
S1-106307602	S2-928217474	address,name_char_tfidf,name_fuzzy,name_token	4	6.0
S1-106307602	S2-928844504	name_token	1	2.0
S1-106307602	S2-936762632	name_token	1	2.0
S1-106307602	S2-943951166	name_token	1	2.0
S1-106307602	S2-963536370	name_token	1	2.0
S1-106307602	S2-966870365	name_char_tfidf,name_fuzzy,name_token	3	4.0
S1-106307602	S3-109760215	name_fuzzy	1	0.6511627906976745
S1-106307602	S3-156210383	name_fuzzy	1	0.5909090909090908
S1-106307602	S3-17325577	name_fuzzy	1	0.5945945945945945
S1-106307602	S3-18097250	name_token	1	2.0
S1-106307602	S3-181947547	name_fuzzy	1	0.7027027027027026
S1-106307602	S3-190455328	name_fuzzy	1	0.5957446808510638
S1-106307602	S3-201285968	name_char_tfidf,name_fuzzy,name_token	3	4.0
S1-106307602	S3-239233636	name_token	1	2.0
S1-106307602	S3-298089386	name_token	1	4.0
S1-106307602	S3-299466903	name_token	1	2.0
S1-106307602	S3-30848104	name_char_tfidf	1	0.40617924776526326
S1-106307602	S3-314662267	name_fuzzy	1	0.6153846153846154
S1-106307602	S3-340140608	name_fuzzy	1	0.6
S1-106307602	S3-3526727	name_token	1	2.0
S1-106307602	S3-382543214	name_fuzzy	1	0.6285714285714286
S1-106307602	S3-429169190	name_fuzzy	1	0.6274509803921569
S1-106307602	S3-437729771	name_token	1	2.0
S1-106307602	S3-504977854	name_fuzzy	1	0.6285714285714286
S1-106307602	S3-509191648	name_fuzzy	1	0.6060606060606061
S1-106307602	S3-524479358	name_fuzzy	1	0.7428571428571429
S1-106307602	S3-526812841	name_fuzzy	1	0.6341463414634146
S1-106307602	S3-547060990	name_token	1	2.0
S1-106307602	S3-557235631	name_token	1	2.0
S1-106307602	S3-618405516	name_token	1	2.0
S1-106307602	S3-628522621	name_fuzzy	1	0.6122448979591837
S1-106307602	S3-644124586	name_token	1	4.0
S1-106307602	S3-669454428	name_token	1	2.0
S1-106307602	S3-698519941	name_char_tfidf,name_fuzzy	2	0.6190476190476191
S1-106307602	S3-70375401	name_token	1	2.0
S1-106307602	S3-718706409	name_token	1	2.0
S1-106307602	S3-721394838	address,name_char_tfidf,name_fuzzy,name_token	4	6.0
S1-106307602	S3-72351455	name_fuzzy	1	0.6666666666666667
S1-106307602	S3-759799134	name_char_tfidf,name_fuzzy,name_token	3	4.0
S1-106307602	S3-766019469	name_fuzzy	1	0.6842105263157895
S1-106307602	S3-792879238	name_token	1	2.0
S1-106307602	S3-820830441	name_fuzzy	1	0.6363636363636364
S1-106307602	S3-829661888	name_fuzzy,name_token	2	4.0
S1-106307602	S3-850741570	name_token	1	2.0
S1-106307602	S3-960329453	name_fuzzy	1	0.6341463414634146
S1-106307602	S3-964536531	name_fuzzy	1	0.7027027027027026
S1-106307602	S3-964944247	name_token	1	2.0
S1-106307602	S3-988327012	name_token	1	4.0
S1-10802286	S2-115192904	name_token	1	2.0
S1-10802286	S2-122537832	name_fuzzy	1	0.65
S1-10802286	S2-190163962	address,name_char_tfidf,name_fuzzy,name_token	4	8.0
S1-10802286	S2-201778782	name_token	1	2.0
S1-10802286	S2-252991077	name_token	1	2.0
S1-10802286	S2-267104752	name_token	1	2.0
S1-10802286	S2-292254072	name_token	1	2.0
S1-10802286	S2-30317078	name_token	1	3.0
S1-10802286	S2-413009622	name_token	1	2.0
S1-10802286	S2-42078860	address,name_char_tfidf,name_fuzzy,name_token	4	9.0
S1-10802286	S2-422308763	name_fuzzy,name_token	2	3.0
S1-10802286	S2-439059133	address,name_char_tfidf,name_fuzzy,name_token	4	9.0
S1-10802286	S2-506665785	name_token	1	2.0
S1-10802286	S2-573167121	name_token	1	2.0
S1-10802286	S2-574922677	name_token	1	2.0
S1-10802286	S2-584984935	name_token	1	2.0
S1-10802286	S2-616955920	name_token	1	2.0
S1-10802286	S2-619717119	name_token	1	2.0
S1-10802286	S2-716618270	name_fuzzy	1	0.5909090909090908
S1-10802286	S2-760141044	name_token	1	2.0
S1-10802286	S2-798750411	name_token	1	2.0
S1-10802286	S2-800138203	name_token	1	2.0
S1-10802286	S2-815002764	name_token	1	2.0
S1-10802286	S2-844944331	name_token	1	2.0
S1-10802286	S2-910873714	name_token	1	2.0
S1-10802286	S2-916514697	name_token	1	2.0
S1-10802286	S2-947156719	address,name_char_tfidf,name_fuzzy,name_token	4	9.0
S1-10802286	S2-959206841	name_fuzzy,name_token	2	3.0
S1-10802286	S2-976904474	name_token	1	2.0
S1-10802286	S2-993159192	name_token	1	2.0
S1-10802286	S3-12179249	name_token	1	2.0
S1-10802286	S3-195586335	name_token	1	2.0
S1-10802286	S3-284312290	name_token	1	2.0
S1-10802286	S3-288300720	name_token	1	2.0
S1-10802286	S3-306876989	name_char_tfidf,name_fuzzy,name_token	3	5.0
S1-10802286	S3-311664143	name_token	1	2.0
S1-10802286	S3-35273010	address,name_char_tfidf,name_fuzzy,name_token	4	9.0
S1-10802286	S3-366258014	name_token	1	2.0
S1-10802286	S3-455820655	address,name_char_tfidf,name_fuzzy,name_token	4	9.0
S1-10802286	S3-500876555	name_token	1	2.0
S1-10802286	S3-514109725	name_fuzzy,name_token	2	3.0
S1-10802286	S3-53293984	name_token	1	2.0
S1-10802286	S3-551191987	name_token	1	3.0
S1-10802286	S3-590603111	name_token	1	2.0
S1-10802286	S3-624125246	address,name_char_tfidf,name_fuzzy,name_token	4	8.0
S1-10802286	S3-629093171	name_token	1	2.0
S1-10802286	S3-63188424	name_token	1	2.0
S1-10802286	S3-666633927	name_token	1	2.0
S1-10802286	S3-78794978	name_token	1	2.0
S1-10802286	S3-852922179	name_token	1	2.0
S1-10802286	S3-904319926	name_token	1	2.0
S1-10802286	S3-934378666	name_token	1	2.0
S1-108573058	S2-163486264	name_char_tfidf,name_token	2	2.0
S1-108573058	S2-292004162	name_token	1	2.0
S1-108573058	S2-352216723	name_token	1	2.0
S1-108573058	S2-386430024	name_fuzzy,name_token	2	2.0
S1-108573058	S2-485686666	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-108573058	S2-516165058	name_fuzzy,name_token	2	2.0
S1-108573058	S2-542369725	name_fuzzy,name_token	2	2.0
S1-108573058	S2-582836550	name_token	1	2.0
S1-108573058	S2-63404223	name_token	1	2.0
S1-108573058	S2-6765972	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-108573058	S2-739002237	name_fuzzy	1	0.5833333333333333
S1-108573058	S2-759251107	name_char_tfidf,name_token	2	2.0
S1-108573058	S2-788819123	name_fuzzy,name_token	2	2.0
S1-108573058	S2-872647839	name_token	1	2.0
S1-108573058	S2-879648032	name_token	1	2.0
S1-108573058	S2-889531341	name_token	1	2.0
S1-108573058	S3-10718996	name_token	1	2.0
S1-108573058	S3-184087842	name_fuzzy,name_token	2	2.0
S1-108573058	S3-216132042	name_char_tfidf,name_token	2	2.0
S1-108573058	S3-228779934	name_token	1	2.0
S1-108573058	S3-230421305	name_token	1	2.0
S1-108573058	S3-232530607	name_token	1	2.0
S1-108573058	S3-279413423	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-108573058	S3-332469476	name_token	1	2.0
S1-108573058	S3-339028612	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-108573058	S3-345085995	name_fuzzy,name_token	2	2.0
S1-108573058	S3-349982556	name_token	1	2.0
S1-108573058	S3-361224174	address	1	2.0
S1-108573058	S3-364271572	name_fuzzy	1	0.56
S1-108573058	S3-422878005	name_fuzzy	1	0.5833333333333333
S1-108573058	S3-436696479	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-108573058	S3-44216527	name_char_tfidf,name_token	2	2.0
S1-108573058	S3-469273310	name_fuzzy,name_token	2	2.0
S1-108573058	S3-4853277	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-108573058	S3-512505859	name_token	1	2.0
S1-108573058	S3-551528806	name_token	1	2.0
S1-108573058	S3-607989490	name_token	1	2.0
S1-108573058	S3-618897376	name_token	1	2.0
S1-108573058	S3-620856171	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-108573058	S3-628725470	name_fuzzy	1	0.5714285714285714
S1-108573058	S3-667301307	name_token	1	2.0
S1-108573058	S3-688822920	name_fuzzy	1	0.64
S1-108573058	S3-775817300	address,name_char_tfidf,name_fuzzy,name_token	4	4.0
S1-108573058	S3-792529557	name_token	1	2.0
S1-108573058	S3-817043725	name_fuzzy	1	0.6086956521739131
S1-108573058	S3-889577602	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-108573058	S3-915546371	name_fuzzy	1	0.5714285714285714
S1-108573058	S3-968471220	name_fuzzy	1	0.56
S1-108573058	S3-983731689	name_token	1	2.0
S1-109396190	S2-132845819	name_token	1	2.0
S1-109396190	S2-141191073	name_fuzzy,name_token	2	2.0
S1-109396190	S2-142595496	name_token	1	2.0
S1-109396190	S2-20437085	name_fuzzy,name_token	2	3.0
S1-109396190	S2-230903999	name_fuzzy	1	0.5714285714285714
S1-109396190	S2-234179211	name_fuzzy,name_token	2	3.0
S1-109396190	S2-24593516	name_fuzzy	1	0.5517241379310345
S1-109396190	S2-259509304	name_token	1	2.0
S1-109396190	S2-260603783	name_token	1	2.0
S1-109396190	S2-275101751	name_fuzzy	1	0.5531914893617021
S1-109396190	S2-275130265	name_token	1	2.0
S1-109396190	S2-316832981	name_token	1	2.0
S1-109396190	S2-419628368	name_token	1	2.0
S1-109396190	S2-435472441	name_token	1	2.0
S1-109396190	S2-440154835	name_token	1	2.0
S1-109396190	S2-498322747	address,name_char_tfidf,name_fuzzy	3	2.0
S1-109396190	S2-532843846	name_token	1	2.0
S1-109396190	S2-537401637	name_fuzzy,name_token	2	3.0
S1-109396190	S2-579436191	name_fuzzy	1	0.5671641791044777
S1-109396190	S2-592654195	name_token	1	2.0
S1-109396190	S2-605936860	name_token	1	2.0
S1-109396190	S2-632528145	name_fuzzy	1	0.6
S1-109396190	S2-653008078	name_token	1	2.0
S1-109396190	S2-744814202	name_token	1	2.0
S1-109396190	S2-771328093	name_fuzzy,name_token	2	2.0
S1-109396190	S2-776365599	name_token	1	2.0
S1-109396190	S2-842237314	name_token	1	2.0
S1-109396190	S2-842970431	address,name_char_tfidf,name_fuzzy,name_token	4	5.0
S1-109396190	S2-848928551	name_char_tfidf,name_token	2	2.0
S1-109396190	S2-854495278	name_token	1	2.0
S1-109396190	S2-896912632	name_token	1	2.0
S1-109396190	S2-898748309	name_token	1	2.0
S1-109396190	S2-920350472	name_fuzzy	1	0.5531914893617021
S1-109396190	S2-961999265	name_fuzzy	1	0.6296296296296297
S1-109396190	S2-988015833	name_token	1	2.0
S1-109396190	S3-113197065	name_token	1	2.0
S1-109396190	S3-121040654	name_token	1	2.0
S1-109396190	S3-12115447	name_fuzzy,name_token	2	3.0
S1-109396190	S3-194611471	name_token	1	2.0
S1-109396190	S3-245670396	name_token	1	2.0
S1-109396190	S3-284882720	name_fuzzy	1	0.5531914893617021
S1-109396190	S3-303517764	name_token	1	2.0
S1-109396190	S3-350085876	name_fuzzy	1	0.6538461538461539
S1-109396190	S3-35964455	name_fuzzy	1	0.5573770491803278
S1-109396190	S3-387192517	name_fuzzy	1	0.5517241379310345
S1-109396190	S3-428637516	name_token	1	2.0
S1-109396190	S3-434413127	name_fuzzy	1	0.5555555555555556
S1-109396190	S3-448104597	name_fuzzy	1	0.5909090909090908
S1-109396190	S3-486283136	address,name_char_tfidf,name_fuzzy,name_token	4	7.0
S1-109396190	S3-529630735	name_fuzzy,name_token	2	2.0
S1-109396190	S3-543949107	name_token	1	2.0
S1-109396190	S3-581942815	name_fuzzy	1	0.5660377358490566
S1-109396190	S3-588614894	name_fuzzy	1	0.5531914893617021
S1-109396190	S3-61652137	name_token	1	2.0
S1-109396190	S3-62736366	name_token	1	2.0
S1-109396190	S3-683418317	name_token	1	2.0
S1-109396190	S3-687684601	name_fuzzy	1	0.56
S1-109396190	S3-702949791	name_token	1	2.0
S1-109396190	S3-708845117	name_token	1	2.0
S1-109396190	S3-749202365	name_token	1	2.0
S1-109396190	S3-77498314	name_fuzzy	1	0.5660377358490566
S1-109396190	S3-791205322	address,name_char_tfidf,name_fuzzy,name_token	4	5.0
S1-109396190	S3-821946052	name_token	1	2.0
S1-109396190	S3-843758176	name_token	1	2.0
S1-109396190	S3-87075158	name_char_tfidf,name_fuzzy,name_token	3	2.0
S1-109396190	S3-948525186	name_token	1	2.0
S1-109396190	S3-955963853	name_fuzzy	1	0.5573770491803278
S1-109396190	S3-990886801	address,name_char_tfidf,name_fuzzy,name_token	4	7.0
S1-109396190	S3-998513627	address,name_char_tfidf,name_fuzzy,name_token	4	7.0
S1-109450074	S2-160221902	name_token	1	2.0
S1-109450074	S2-166266175	name_token	1	2.0
S1-109450074	S2-187382765	name_token	1	2.0
S1-109450074	S2-193655343	name_token	1	2.0
S1-109450074	S2-195071485	name_fuzzy	1	0.5789473684210527
S1-109450074	S2-216045158	address	1	3.0
S1-109450074	S2-281080618	address	1	3.0
S1-109450074	S2-286470872	name_fuzzy,name_token	2	3.0
S1-109450074	S2-301184601	address	1	3.0
S1-109450074	S2-301578408	address	1	3.0
S1-109450074	S2-317194963	name_token	1	2.0
S1-109450074	S2-330754810	name_token	1	2.0
S1-109450074	S2-358211203	address	1	3.0
S1-109450074	S2-37593063	name_token	1	3.0
S1-109450074	S2-380667580	address	1	3.0
S1-109450074	S2-385420681	address	1	3.0
S1-109450074	S2-390722669	address	1	3.0
S1-109450074	S2-398388666	address	1	4.0
S1-109450074	S2-398406191	name_token	1	2.0
S1-109450074	S2-40049336	name_token	1	2.0
S1-109450074	S2-410363867	name_token	1	2.0
S1-109450074	S2-417864773	name_fuzzy,name_token	2	3.0
S1-109450074	S2-438161926	name_token	1	2.0
S1-109450074	S2-440355144	name_char_tfidf	1	0.3720399140992959
S1-109450074	S2-440409042	name_token	1	2.0
S1-109450074	S2-491675548	address	1	4.0
S1-109450074	S2-49304273	address	1	4.0
S1-109450074	S2-518583318	name_fuzzy	1	0.5714285714285714
S1-109450074	S2-518649070	name_fuzzy	1	0.5909090909090908
S1-109450074	S2-526735571	name_token	1	2.0
S1-109450074	S2-535963407	name_token	1	2.0
S1-109450074	S2-53603175	address	1	3.0
S1-109450074	S2-541493234	address	1	3.0
S1-109450074	S2-547561770	name_token	1	2.0
S1-109450074	S2-551779619	name_token	1	2.0
S1-109450074	S2-553635389	address	1	4.0
S1-109450074	S2-575109009	name_fuzzy	1	0.6
S1-109450074	S2-590754336	address,name_char_tfidf,name_fuzzy,name_token	4	8.0
S1-109450074	S2-59400912	name_fuzzy,name_token	2	3.0
S1-109450074	S2-595854159	address	1	3.0
S1-109450074	S2-642953301	address	1	3.0
S1-109450074	S2-659887383	address	1	3.0
S1-109450074	S2-696672788	address	1	3.0
S1-109450074	S2-709901764	address	1	3.0
S1-109450074	S2-710386119	address	1	3.0
