s1_entity_id	candidate_entity_id
S1-938947364	S2-95041674
S1-938947364	S2-427927841
S1-938947364	S3-991919393
S1-938947364	S3-632353004
S1-938947364	S3-472324207
S1-938947364	S2-30015020
S1-938947364	S2-24779332
S1-195839862	S2-232134153
S1-195839862	S2-344984473
S1-195839862	S2-48537853
S1-195839862	S3-804323871
S1-195839862	S3-946956103
S1-195839862	S3-781297573
S1-195839862	S3-747358048
S1-195839862	S2-478439612
S1-195839862	S3-308684541
S1-195839862	S2-229301244
S1-195839862	S3-177603032
S1-195839862	S3-724182409
S1-195839862	S2-981531199
S1-195839862	S3-685371982
S1-195839862	S2-595854159
S1-195839862	S2-187505319
S1-195839862	S3-234454681
S1-195839862	S2-648014669
S1-195839862	S2-858034140
S1-195839862	S3-399524528
S1-195839862	S2-508496196
S1-195839862	S2-138839775
S1-195839862	S3-574151234
S1-195839862	S3-311691124
S1-195839862	S3-728742174
S1-195839862	S3-196233562
S1-195839862	S3-93941105
S1-195839862	S3-870478620
S1-195839862	S2-754617198
S1-195839862	S3-577195301
S1-195839862	S3-25246144
S1-195839862	S3-333203035
S1-195839862	S3-354651152
S1-195839862	S3-946443220
S1-195839862	S3-346227482
S1-195839862	S3-638474188
S1-195839862	S2-468833882
S1-195839862	S3-470967888
S1-195839862	S3-446153310
S1-195839862	S3-974692977
S1-195839862	S2-510314780
S1-195839862	S3-174036202
S1-195839862	S2-414640650
S1-195839862	S2-780547093
S1-195839862	S2-776108614
S1-195839862	S3-161260530
S1-195839862	S2-51395753
S1-195839862	S3-248326471
S1-195839862	S3-532920051
S1-195839862	S3-669756688
S1-655046555	S2-113600604
S1-655046555	S2-73156901
S1-655046555	S3-857631730
S1-655046555	S2-740167472
S1-655046555	S3-398481821
S1-655046555	S3-887688565
S1-655046555	S2-629417008
S1-655046555	S3-663476050
S1-655046555	S3-749581084
S1-655046555	S3-792300680
S1-655046555	S3-345786965
S1-655046555	S3-126079123
S1-655046555	S2-209291661
S1-655046555	S3-124789381
S1-655046555	S3-285388750
S1-655046555	S2-4323538
S1-655046555	S2-730772300
S1-655046555	S3-766850323
S1-655046555	S3-387500124
S1-655046555	S3-464746422
S1-655046555	S3-252564018
S1-655046555	S2-343023289
S1-655046555	S3-2359049
S1-655046555	S2-660746305
S1-655046555	S2-675997835
S1-655046555	S3-949141829
S1-655046555	S3-656319339
S1-655046555	S3-795349408
S1-655046555	S3-10788933
S1-655046555	S3-242007570
S1-655046555	S3-864169743
S1-655046555	S2-666344322
S1-655046555	S2-602025658
S1-655046555	S3-654148026
S1-655046555	S2-228437931
S1-655046555	S2-121377752
S1-655046555	S3-271526814
S1-655046555	S2-63399896
S1-655046555	S2-723950927
S1-655046555	S3-415868240
S1-655046555	S3-951234454
S1-655046555	S2-326924360
S1-655046555	S2-779479157
S1-655046555	S2-879476336
S1-655046555	S2-143542548
S1-655046555	S2-510088552
S1-655046555	S3-506905017
S1-655046555	S3-399743919
S1-655046555	S3-188323592
S1-655046555	S3-39699281
S1-758070915	S3-980653264
S1-758070915	S3-121597783
S1-758070915	S3-480828385
S1-758070915	S3-788042948
S1-758070915	S2-464294353
S1-758070915	S3-317047386
S1-758070915	S3-874837651
S1-758070915	S2-537173799
S1-758070915	S3-869674570
S1-758070915	S3-780395818
S1-758070915	S3-736779430
S1-758070915	S2-689768993
S1-758070915	S2-331454298
S1-758070915	S3-231160208
S1-758070915	S3-11241179
S1-758070915	S2-546713261
S1-758070915	S2-860205683
S1-758070915	S3-15182788
S1-758070915	S3-404613688
S1-758070915	S3-778245687
S1-758070915	S2-334699467
S1-758070915	S2-423704496
S1-758070915	S2-556804291
S1-758070915	S3-720299982
S1-758070915	S2-448498481
S1-758070915	S2-886049759
S1-758070915	S2-894383038
S1-758070915	S2-593944503
S1-758070915	S3-581964611
S1-758070915	S3-79403614
S1-758070915	S2-303623888
S1-758070915	S3-683185340
S1-758070915	S2-493508786
S1-758070915	S3-828539345
S1-758070915	S3-220708398
S1-758070915	S3-21110445
S1-758070915	S2-678410194
S1-758070915	S2-887222808
S1-758070915	S3-222585638
S1-758070915	S2-951553277
S1-758070915	S3-478640466
S1-758070915	S3-509503903
S1-758070915	S3-585990109
S1-758070915	S2-899796310
S1-758070915	S3-676560796
S1-758070915	S3-493517158
S1-758070915	S3-592806061
S1-758070915	S2-337206854
S1-758070915	S3-598055611
S1-758070915	S3-482107933
S1-169338169	S3-345350625
S1-169338169	S2-519047819
S1-169338169	S2-626887099
S1-169338169	S3-295452308
S1-169338169	S2-851548432
S1-169338169	S2-767142222
S1-169338169	S2-441993746
S1-169338169	S2-643984188
S1-169338169	S3-176181204
S1-169338169	S3-778116415
S1-169338169	S3-997527752
S1-169338169	S3-197338591
S1-169338169	S2-808602491
S1-169338169	S2-223459024
S1-169338169	S3-231602102
S1-169338169	S3-201543070
S1-169338169	S2-370755405
S1-169338169	S3-47043354
S1-169338169	S3-519642684
S1-169338169	S2-733624175
S1-169338169	S2-501773856
S1-169338169	S3-822030286
S1-169338169	S3-523695038
S1-169338169	S2-617355895
S1-169338169	S2-735509
S1-169338169	S2-616153066
S1-169338169	S3-638304448
S1-169338169	S3-476139367
S1-169338169	S3-869815176
S1-169338169	S3-524341767
S1-169338169	S2-382953092
S1-169338169	S3-975819315
S1-169338169	S2-264809891
S1-169338169	S3-671927606
S1-169338169	S3-315557301
S1-169338169	S3-550868183
S1-169338169	S3-199628933
S1-169338169	S3-149879507
S1-169338169	S3-999451322
S1-169338169	S3-902547381
S1-169338169	S3-236111634
S1-169338169	S3-482429848
S1-169338169	S2-256778946
S1-169338169	S3-18065379
S1-169338169	S2-342294012
S1-169338169	S2-477021975
S1-169338169	S2-284986233
S1-796421498	S3-99639849
S1-796421498	S2-602057050
S1-796421498	S2-561018765
S1-796421498	S2-965085554
S1-796421498	S3-947711333
S1-796421498	S2-711120231
S1-796421498	S2-765622959
S1-796421498	S2-53558047
S1-796421498	S2-489279904
S1-796421498	S2-890815163
S1-796421498	S3-327045131
S1-796421498	S3-32866218
S1-796421498	S2-144838333
S1-796421498	S3-268627040
S1-796421498	S2-451722068
S1-796421498	S3-681044813
S1-796421498	S2-272417858
S1-796421498	S3-919130017
S1-796421498	S2-804595923
S1-796421498	S2-171591614
S1-796421498	S3-135328772
S1-796421498	S3-813523172
S1-796421498	S3-543309789
S1-796421498	S2-453076951
S1-796421498	S3-478029303
S1-796421498	S2-272543551
S1-796421498	S3-455032999
S1-796421498	S3-13535648
S1-796421498	S3-669947949
S1-796421498	S2-370179987
S1-796421498	S2-164828570
S1-796421498	S2-90994985
S1-796421498	S2-173741606
S1-796421498	S3-223088485
S1-796421498	S3-62959492
S1-796421498	S3-6396320
S1-796421498	S2-849322331
S1-796421498	S3-8226937
S1-796421498	S3-786177257
S1-796421498	S3-76767585
S1-796421498	S3-222397998
S1-796421498	S3-883588589
S1-796421498	S3-311716132
S1-796421498	S2-49289052
S1-796421498	S3-970553703
S1-796421498	S3-257834605
S1-796421498	S3-569867761
S1-796421498	S3-824064646
S1-796421498	S2-106063416
S1-796421498	S2-765180306
S1-802535179	S3-415785756
S1-802535179	S2-112894591
S1-802535179	S3-802505729
S1-802535179	S3-770184671
S1-802535179	S2-190290414
S1-802535179	S3-911655769
S1-802535179	S3-723284570
S1-802535179	S2-211681220
S1-802535179	S2-944629656
S1-802535179	S2-713695153
S1-802535179	S2-122820351
S1-802535179	S3-174860654
S1-802535179	S3-266156713
S1-802535179	S3-29501667
S1-802535179	S3-459567382
S1-802535179	S3-816509045
S1-802535179	S3-131958995
S1-802535179	S2-926164954
S1-802535179	S3-664812619
S1-802535179	S2-242514743
S1-802535179	S2-480710783
S1-802535179	S2-287698402
S1-802535179	S2-585410334
S1-802535179	S2-847992560
S1-802535179	S2-122798400
S1-802535179	S2-901435066
S1-802535179	S3-108481120
S1-802535179	S2-331742995
S1-802535179	S3-370310275
S1-802535179	S3-671497875
S1-802535179	S3-977268137
S1-802535179	S2-822449630
S1-802535179	S3-687377127
S1-802535179	S3-702637165
S1-802535179	S3-624698782
S1-802535179	S3-86395009
S1-802535179	S3-647027547
S1-802535179	S2-294148111
S1-802535179	S3-132879457
S1-802535179	S3-251508043
S1-802535179	S2-571058179
S1-802535179	S2-10612159
S1-802535179	S3-90871336
S1-802535179	S2-57342550
S1-802535179	S2-36629105
S1-802535179	S3-842083806
S1-802535179	S2-964624564
S1-802535179	S3-589342278
S1-802535179	S3-572277034
S1-802535179	S3-800549082
S1-97176033	S3-325382850
S1-97176033	S3-218147806
S1-97176033	S2-963742393
S1-97176033	S3-283060533
S1-97176033	S3-248753469
S1-97176033	S3-103953981
S1-97176033	S3-619105304
S1-97176033	S3-998349769
S1-97176033	S3-433552356
S1-97176033	S2-734716825
S1-97176033	S3-346227482
S1-97176033	S2-112656627
S1-97176033	S3-287470433
S1-97176033	S3-325616064
S1-97176033	S3-414335719
S1-97176033	S3-600079483
S1-97176033	S3-459452609
S1-97176033	S2-850854973
S1-97176033	S2-373416881
S1-97176033	S2-796436089
S1-97176033	S2-283782247
S1-97176033	S3-87831234
S1-97176033	S3-399524528
S1-97176033	S2-927413737
S1-97176033	S2-175763455
S1-97176033	S2-149039582
S1-97176033	S3-68876167
S1-97176033	S2-847711012
S1-97176033	S3-146113092
S1-97176033	S2-972498737
S1-97176033	S2-110961797
S1-97176033	S3-693492313
S1-97176033	S3-597268948
S1-97176033	S2-848290316
S1-97176033	S3-754043809
S1-97176033	S3-918150131
S1-97176033	S3-105832172
S1-97176033	S2-46538043
S1-97176033	S2-136901284
S1-97176033	S2-856864565
S1-97176033	S2-585292686
S1-97176033	S3-185675242
S1-97176033	S3-550210400
S1-97176033	S2-29780021
S1-97176033	S2-374836667
S1-97176033	S3-145352806
S1-97176033	S3-605359694
S1-97176033	S2-587415189
S1-97176033	S2-265462783
S1-97176033	S2-238844128
S1-983540069	S3-18925596
S1-983540069	S3-435171628
S1-983540069	S3-803702546
S1-983540069	S3-478044385
S1-983540069	S2-736660881
S1-983540069	S3-619192116
S1-983540069	S2-12646753
S1-983540069	S3-885403901
S1-983540069	S3-925180963
S1-983540069	S3-325652791
S1-983540069	S3-978970499
S1-983540069	S3-12082260
S1-983540069	S2-115376155
S1-983540069	S2-367425597
S1-983540069	S3-259716637
S1-983540069	S2-896216609
S1-983540069	S3-86993734
S1-983540069	S2-229301244
S1-983540069	S3-438118974
S1-983540069	S3-592949905
S1-983540069	S2-198226220
S1-983540069	S2-398576823
S1-983540069	S3-705817960
S1-983540069	S3-245510192
S1-983540069	S2-284132288
S1-983540069	S2-450451576
S1-983540069	S2-395151585
S1-983540069	S3-367897036
S1-983540069	S3-192823377
S1-983540069	S3-462289446
S1-983540069	S2-643658846
S1-983540069	S3-751497207
S1-983540069	S2-475286839
S1-983540069	S3-768611541
S1-983540069	S3-955940430
S1-983540069	S3-276156660
S1-983540069	S2-981531199
S1-983540069	S3-728742174
S1-983540069	S2-138839775
S1-983540069	S3-569309125
S1-983540069	S3-113159442
S1-983540069	S2-358855638
S1-983540069	S3-586497664
S1-983540069	S2-563944797
S1-983540069	S3-769290472
S1-983540069	S2-638022376
S1-983540069	S3-463709098
S1-983540069	S2-558271124
S1-983540069	S2-846902267
S1-983540069	S3-751644206
S1-642488269	S2-216050037
S1-642488269	S2-498910744
S1-642488269	S3-341159746
S1-642488269	S3-804472385
S1-642488269	S2-414681753
S1-642488269	S2-346537077
S1-642488269	S3-794991282
S1-642488269	S3-309084642
S1-642488269	S2-364151731
S1-642488269	S2-243654
S1-642488269	S3-556624251
S1-642488269	S2-916653978
S1-642488269	S2-782747418
S1-642488269	S2-389881931
S1-642488269	S3-168733158
S1-642488269	S2-241271291
S1-642488269	S3-44558164
S1-642488269	S3-454100096
S1-642488269	S2-184453112
S1-642488269	S3-131132420
S1-642488269	S2-165710574
S1-642488269	S2-634532139
S1-642488269	S3-526893094
S1-642488269	S2-261047645
S1-642488269	S3-900309858
S1-642488269	S2-848734045
S1-642488269	S3-194993293
S1-642488269	S2-119475598
S1-642488269	S3-729717147
S1-642488269	S3-439288195
S1-642488269	S2-150646254
S1-642488269	S2-924708653
S1-642488269	S3-336980923
S1-642488269	S2-367258821
S1-642488269	S3-292464715
S1-642488269	S3-956822310
S1-642488269	S3-938872677
S1-642488269	S3-766371265
S1-642488269	S3-620735903
S1-642488269	S3-658372140
S1-642488269	S2-143641149
S1-642488269	S2-886667346
S1-642488269	S2-807174498
S1-642488269	S2-109380656
S1-642488269	S3-365450023
S1-642488269	S3-772363302
S1-642488269	S3-843758176
S1-642488269	S2-765339178
S1-642488269	S3-659780993
S1-642488269	S3-893239625
S1-426953208	S3-255726763
S1-426953208	S2-346970078
S1-426953208	S3-982202331
S1-426953208	S3-330819499
S1-426953208	S2-603199832
S1-426953208	S3-91987336
S1-426953208	S3-950519904
S1-426953208	S3-553118175
S1-426953208	S3-642910425
S1-426953208	S3-956147148
S1-426953208	S3-894401000
S1-426953208	S3-178506648
S1-426953208	S3-762236168
S1-426953208	S2-41922818
S1-426953208	S2-410038259
S1-426953208	S3-631081991
S1-426953208	S2-169205921
S1-426953208	S2-327481681
S1-426953208	S3-112060410
S1-426953208	S3-926530083
S1-426953208	S3-177771704
S1-426953208	S3-514662539
S1-426953208	S3-27419945
S1-426953208	S3-33108087
S1-426953208	S3-678200717
S1-426953208	S2-853050643
S1-426953208	S2-257167232
S1-426953208	S3-441779672
S1-426953208	S2-526918257
S1-426953208	S3-390811457
S1-426953208	S2-620266605
S1-426953208	S3-414578809
S1-426953208	S3-712667029
S1-426953208	S2-442480517
S1-426953208	S3-131721676
S1-426953208	S3-883961161
S1-426953208	S2-84470408
S1-426953208	S2-154966534
S1-426953208	S2-385136378
S1-426953208	S3-812733315
S1-426953208	S2-693295765
S1-426953208	S3-123927121
S1-426953208	S3-294220775
S1-426953208	S2-71118248
S1-426953208	S2-775728442
S1-426953208	S2-943910722
S1-426953208	S2-152466654
S1-426953208	S3-563634964
S1-426953208	S2-486694290
S1-426953208	S3-28873453
S1-818320211	S2-773075095
S1-818320211	S2-53558047
S1-818320211	S3-806476865
S1-818320211	S3-154968752
S1-818320211	S3-397382535
S1-818320211	S3-52431528
S1-818320211	S2-929399785
S1-818320211	S3-154807971
S1-818320211	S3-855882420
S1-818320211	S2-959103737
S1-818320211	S3-430701515
S1-818320211	S2-859296164
S1-818320211	S3-511855897
S1-818320211	S2-781289854
S1-818320211	S3-62940186
S1-818320211	S3-195997256
S1-818320211	S2-553277174
S1-818320211	S3-859540000
S1-818320211	S3-998017573
S1-818320211	S2-840923095
S1-818320211	S2-277321971
S1-818320211	S3-12964700
S1-818320211	S3-362243084
S1-818320211	S2-79024900
S1-818320211	S3-862569559
S1-818320211	S3-287503977
S1-818320211	S2-934987433
S1-818320211	S3-695103509
S1-818320211	S2-714539813
S1-818320211	S2-65941424
S1-818320211	S2-513449449
S1-818320211	S3-967376075
S1-818320211	S3-164326945
S1-818320211	S3-322347143
S1-818320211	S3-160436041
S1-818320211	S3-939560890
S1-818320211	S3-259209156
S1-818320211	S3-959735414
S1-818320211	S3-950133923
S1-818320211	S3-750578843
S1-818320211	S3-455841462
S1-818320211	S3-100379917
S1-818320211	S2-90020839
S1-818320211	S3-868379280
S1-818320211	S2-131879162
S1-818320211	S2-222160023
S1-818320211	S3-884375426
S1-818320211	S2-603458950
S1-818320211	S3-577195301
S1-818320211	S3-25246144
S1-33984562	S3-688680940
S1-33984562	S3-874541953
S1-33984562	S3-851328079
S1-33984562	S3-785730826
S1-33984562	S2-723656114
S1-33984562	S2-904412198
S1-33984562	S3-817026958
S1-33984562	S3-742350942
S1-33984562	S3-873526616
S1-33984562	S2-4409287
S1-33984562	S3-231422148
S1-33984562	S3-41592555
S1-33984562	S3-128384129
S1-33984562	S3-206064045
S1-33984562	S2-16557943
S1-33984562	S2-42240112
S1-33984562	S3-516417565
S1-33984562	S2-162818519
S1-33984562	S2-906774385
S1-33984562	S2-240937471
S1-33984562	S3-55456391
S1-33984562	S2-324482807
S1-33984562	S3-253169325
S1-33984562	S3-409566858
S1-33984562	S3-478929518
S1-33984562	S3-184791326
S1-33984562	S3-601321135
S1-33984562	S3-442326482
S1-33984562	S2-19055173
S1-33984562	S2-255338248
S1-33984562	S3-769253423
S1-33984562	S2-355977389
S1-33984562	S2-281446020
S1-33984562	S3-468658814
S1-33984562	S2-477172236
S1-33984562	S2-676280381
S1-33984562	S3-104917047
S1-33984562	S2-868652736
S1-33984562	S3-646726988
S1-33984562	S2-891882558
S1-33984562	S3-615960926
S1-33984562	S3-478421054
S1-33984562	S2-763581580
S1-33984562	S3-141401896
S1-33984562	S2-838161675
S1-33984562	S3-160409138
S1-33984562	S2-580668705
S1-33984562	S3-928215963
S1-33984562	S3-922003653
S1-33984562	S2-504800599
S1-709960468	S3-347400419
S1-709960468	S3-165186785
S1-709960468	S3-89755169
S1-709960468	S2-783218448
S1-709960468	S2-519500095
S1-709960468	S3-143280710
S1-709960468	S2-351050869
S1-709960468	S3-120974616
S1-709960468	S3-933325359
S1-709960468	S2-130875855
S1-709960468	S3-527519177
S1-709960468	S3-33715844
S1-709960468	S3-884593746
S1-709960468	S2-915294620
S1-709960468	S3-398545940
S1-709960468	S3-58751681
S1-709960468	S3-693943149
S1-709960468	S2-891980419
S1-709960468	S2-535579795
S1-709960468	S3-762895097
S1-709960468	S2-532448975
S1-709960468	S2-275779541
S1-709960468	S3-506367144
S1-709960468	S3-879377882
S1-709960468	S3-916705552
S1-709960468	S3-110234348
S1-709960468	S3-30996145
S1-709960468	S2-725210195
S1-709960468	S3-791211006
S1-709960468	S3-742280156
S1-709960468	S2-278269475
S1-709960468	S3-619124038
S1-709960468	S3-851277886
S1-709960468	S3-717996744
S1-709960468	S3-275256305
S1-709960468	S2-173021433
S1-709960468	S3-543195130
S1-709960468	S3-70344709
S1-709960468	S3-335719013
S1-709960468	S2-382953092
S1-709960468	S2-704156618
S1-709960468	S3-104536432
S1-709960468	S3-944123046
S1-709960468	S3-689703008
S1-709960468	S2-122923810
S1-709960468	S3-259331523
S1-709960468	S2-318353195
S1-709960468	S2-670254891
S1-709960468	S2-737358616
S1-709960468	S2-839011449
S1-986840295	S2-299296375
S1-986840295	S2-434170203
S1-986840295	S3-881497081
S1-986840295	S2-639456855
S1-986840295	S3-649197742
S1-986840295	S2-597883863
S1-986840295	S2-572345061
S1-986840295	S2-57565237
S1-986840295	S3-535933616
S1-986840295	S3-429434793
S1-986840295	S2-358520598
S1-986840295	S2-465649082
S1-986840295	S3-853309450
S1-986840295	S3-522899841
S1-986840295	S3-119420975
S1-986840295	S2-421905325
S1-986840295	S2-409370565
S1-986840295	S3-741403272
S1-986840295	S3-230100035
S1-986840295	S3-792491090
S1-986840295	S2-725373367
S1-986840295	S2-375590937
S1-986840295	S2-522145854
S1-986840295	S2-63671537
S1-986840295	S2-798920285
S1-986840295	S2-449812597
S1-986840295	S2-899013052
S1-986840295	S3-76563486
S1-986840295	S2-27682958
S1-986840295	S2-132490191
S1-986840295	S2-330903422
S1-986840295	S3-537817858
S1-986840295	S3-396024428
S1-986840295	S3-905060032
S1-986840295	S2-947313818
S1-986840295	S3-925613784
S1-986840295	S2-359999327
S1-986840295	S3-69377277
S1-986840295	S3-641231253
S1-986840295	S3-148447620
S1-986840295	S3-573553097
S1-986840295	S2-929796726
S1-986840295	S2-909465811
S1-986840295	S2-814689684
S1-986840295	S3-466403313
S1-986840295	S2-756612402
S1-986840295	S2-372944789
S1-986840295	S2-886794092
S1-986840295	S2-152466654
S1-986840295	S3-754054662
S1-836296604	S2-589881795
S1-836296604	S3-785125427
S1-836296604	S3-357515885
S1-836296604	S3-286106440
S1-836296604	S2-387835753
S1-836296604	S3-441780973
S1-836296604	S3-182494616
S1-836296604	S3-66628951
S1-836296604	S3-720901503
S1-836296604	S3-794324526
S1-836296604	S3-358798455
S1-836296604	S3-929487580
S1-836296604	S3-413835820
S1-836296604	S2-761653886
S1-836296604	S3-702377636
S1-836296604	S2-875324916
S1-836296604	S3-86015745
S1-836296604	S2-723907770
S1-836296604	S3-792519134
S1-836296604	S2-330754810
S1-836296604	S3-185675242
S1-836296604	S3-758933392
S1-836296604	S2-770398305
S1-836296604	S2-885817988
S1-836296604	S3-376278498
S1-836296604	S3-777663931
S1-836296604	S2-14100217
S1-836296604	S3-189736509
S1-836296604	S3-258029988
S1-836296604	S3-581173831
S1-836296604	S3-965459174
S1-836296604	S3-460434158
S1-836296604	S3-577195301
S1-836296604	S3-25246144
S1-836296604	S3-333203035
S1-836296604	S3-354651152
S1-836296604	S3-946443220
S1-836296604	S3-346227482
S1-836296604	S3-638474188
S1-836296604	S2-468833882
S1-836296604	S3-470967888
S1-836296604	S3-446153310
S1-836296604	S3-974692977
S1-836296604	S2-510314780
S1-836296604	S3-174036202
S1-836296604	S2-414640650
S1-836296604	S2-48537853
S1-836296604	S2-780547093
S1-836296604	S2-776108614
S1-836296604	S3-161260530
S1-975412735	S2-784038194
S1-975412735	S2-160071093
S1-975412735	S3-536010023
S1-975412735	S2-688089654
S1-975412735	S3-454316628
S1-975412735	S2-930314889
S1-975412735	S3-871834130
S1-975412735	S2-753869281
S1-975412735	S3-394671174
S1-975412735	S2-762599783
S1-975412735	S2-27559629
S1-975412735	S3-871317615
S1-975412735	S3-454992702
S1-975412735	S2-462231025
S1-975412735	S3-217779477
S1-975412735	S2-735858614
S1-975412735	S2-452241176
S1-975412735	S3-749555726
S1-975412735	S2-587528737
S1-975412735	S3-17173160
S1-975412735	S2-304702555
S1-975412735	S3-376746473
S1-975412735	S2-465185687
S1-975412735	S3-296934550
S1-975412735	S3-29681031
S1-975412735	S2-26697701
S1-975412735	S3-723454452
S1-975412735	S2-362632148
S1-975412735	S2-631015599
S1-975412735	S2-344368202
S1-975412735	S2-831169888
S1-975412735	S3-970309014
S1-975412735	S2-927211613
S1-975412735	S2-522145854
S1-975412735	S2-927194341
S1-975412735	S3-417307748
S1-975412735	S3-556760803
S1-975412735	S3-218143295
S1-975412735	S3-589965667
S1-975412735	S3-174489848
S1-975412735	S2-207870499
S1-975412735	S2-398021126
S1-975412735	S2-386405719
S1-975412735	S3-527919589
S1-975412735	S3-618405516
S1-975412735	S3-623889679
S1-975412735	S2-169715643
S1-975412735	S2-212959052
S1-975412735	S2-351039248
S1-975412735	S3-70425330
S1-739708548	S3-272318783
S1-739708548	S3-301206769
S1-739708548	S3-921434194
S1-739708548	S2-212034173
S1-739708548	S2-868722627
S1-739708548	S3-328568381
S1-739708548	S3-641966046
S1-739708548	S3-194011317
S1-739708548	S2-148118723
S1-739708548	S3-936599683
S1-739708548	S3-32866218
S1-739708548	S3-946877808
S1-739708548	S3-875055849
S1-739708548	S2-3050665
S1-739708548	S2-173741606
S1-739708548	S3-347828486
S1-739708548	S2-380362280
S1-739708548	S3-944099664
S1-739708548	S2-114465921
S1-739708548	S2-472108015
S1-739708548	S2-182451150
S1-739708548	S3-425105238
S1-739708548	S3-639795248
S1-739708548	S3-484517404
S1-739708548	S3-975179311
S1-739708548	S3-162574620
S1-739708548	S3-803013209
S1-739708548	S3-46025111
S1-739708548	S3-654401889
S1-739708548	S2-38967620
S1-739708548	S3-651790413
S1-739708548	S2-409158734
S1-739708548	S3-33459694
S1-739708548	S3-127289081
S1-739708548	S2-249511951
S1-739708548	S2-922622641
S1-739708548	S2-337287946
S1-739708548	S2-201442439
S1-739708548	S3-279812093
S1-739708548	S3-2677141
S1-739708548	S3-630335888
S1-739708548	S3-351152963
S1-739708548	S2-381280185
S1-739708548	S3-738311205
S1-739708548	S3-662987550
S1-739708548	S3-196083993
S1-739708548	S3-690341042
S1-739708548	S2-860350267
S1-739708548	S2-839750178
S1-739708548	S2-30596657
