source1_entity_id	matched_entity_ids
S1-843179540	S2-437941242,S2-474099966,S2-991925876,S3-411927854,S3-775857408
S1-322066165	S2-634792347,S3-173543094,S3-274394925,S3-505045156,S3-546040219
S1-426702569	S2-367489307,S2-985193882
S1-941261133	S2-83203538,S3-192129105,S3-738953043
S1-680416224	S2-157721942,S2-192452091,S2-211421430,S2-25466737,S2-316092476,S3-215120097,S3-524426555,S3-861958082,S3-919031316,S3-924824386
S1-867998778	S2-126598464,S2-648058432,S3-218494948,S3-807085228
S1-402860122	S2-362804159,S3-265205819,S3-454352686,S3-672251436
S1-175111461	S2-429308620,S2-838267419,S2-883484447,S3-473343865
S1-434607086	S3-363354607,S3-952040915
S1-752379599	
S1-213733425	S2-536341305
S1-329026161	S2-80967361,S3-158077522,S3-28962331,S3-396521727
S1-106307602	S2-559719590,S2-928217474,S3-721394838
S1-544555328	
S1-447199310	
S1-803297813	S2-318486847,S3-547830535
S1-192652606	S3-111087522,S3-259837296
S1-398469911	S2-803608580,S3-132247477
S1-193618187	S2-932603757,S3-106454164,S3-942460482
S1-585107938	S2-162466262,S2-444412919,S2-468881596,S3-644100647
S1-318862606	S2-631485860,S3-708261179,S3-747398297
S1-448653123	S2-256043546,S2-321553383,S3-781923734
S1-694830809	S2-409001265,S2-548592444,S2-729615137,S2-960545687,S3-156666432
S1-904306643	S2-827738149
S1-219732879	S2-582261003,S2-891547877,S3-501279927
S1-650696290	
S1-128350097	S2-121897499,S2-268413508,S2-522197637,S2-928954639,S3-171876122,S3-541751359,S3-789545794
S1-579996157	S2-930896111,S3-477056112,S3-593524067,S3-690341042,S3-932923135
S1-313448121	S3-159666196,S3-461845328,S3-667053896,S3-830195342
S1-612950538	S2-75882467,S3-40972739
S1-650879900	S3-416229334,S3-475076627,S3-878515090,S3-918664470
S1-476097182	S2-263574919,S3-721965677
S1-632088756	S2-180876391,S2-461454382,S2-515963441,S3-326643597,S3-44171274,S3-581108700,S3-668907666
S1-330427971	S3-285481739,S3-677085216
S1-997580527	S2-382686301,S2-540673118,S2-839824103,S3-822476660
S1-892236833	S2-371079433,S2-736348556,S3-433939171,S3-798281261
S1-557182088	S2-549413959,S3-260526660,S3-448205614,S3-677679839
S1-450636499	S3-248450431,S3-373544816
S1-109450074	S2-590754336,S3-805634465
S1-925859038	
S1-319998043	S2-194741763,S3-120821165,S3-152654301
S1-757078074	S2-308074507,S2-765988822,S3-834343867
S1-961351838	S2-209993110,S3-102679277,S3-226337568
S1-876916368	S2-994168459,S3-877739558
S1-340781155	S2-247010165,S2-389438141,S3-611301831,S3-871710005
S1-627975754	S2-450766897,S3-181595855,S3-571731962,S3-713556426,S3-743333234
S1-745738595	S2-320670540,S2-746582059,S2-787404353,S2-833256899,S3-207418140,S3-598823337
S1-221756656	S2-51555053,S2-580609242,S2-908433932,S3-830351025
S1-234478198	S2-116944637,S2-902268239,S3-198020998
S1-154182001	S2-230033349,S2-247485274,S2-253314738,S2-818625585,S3-441084163
S1-41261675	S2-112909029,S2-1991586,S2-849522794,S3-670469055,S3-905583106
S1-949002960	
S1-159871837	
S1-109666175	S3-918679344
S1-42246345	S2-112471943,S2-819580568,S3-541130211
S1-555507211	S3-740926425,S3-936751003
S1-141784862	S2-442397226,S3-483398348
S1-174146241	S2-311455014,S2-906926745,S2-937892947,S3-531792619
S1-445742098	S2-959822393,S3-11752980,S3-509812384,S3-625688924,S3-960862503
S1-937889575	S2-107328570,S2-108012694,S3-440743063,S3-698006124
S1-307581912	S2-805252835,S3-8720081,S3-901277278
S1-612342775	S2-10119839,S2-193952876,S2-515085270,S3-33480972,S3-484534511,S3-635806702
S1-1621510	S2-314337419,S2-40677644,S3-434940063,S3-893005957
S1-91560764	S2-554568494,S3-257099703,S3-262482921,S3-856092543
S1-222238684	S2-44323907,S3-808697220,S3-844839420
S1-568104900	S2-825251260,S3-327559435
S1-831407036	S2-762858172,S3-465050822,S3-779205248,S3-804786640
S1-324704727	S2-4097610,S2-593580304,S2-870032531,S2-986623822,S3-829364176,S3-843618513
S1-541260963	
S1-413260555	S2-973232185,S3-248852740
S1-727807753	S2-278420319,S2-417020449,S2-774962412,S2-980198703
S1-466668920	S2-630399297,S3-467864077,S3-594971383,S3-643607727
S1-545028787	S2-723073109,S3-592854960,S3-679221494,S3-698001501,S3-933613208
S1-687053526	S2-775580908,S3-870925053,S3-961163041
S1-743717387	S2-178418825,S3-571531937,S3-617911770
S1-905068683	S2-7826398,S3-337709335
S1-174434806	
S1-510688610	S2-169852354
S1-495839809	S2-405083104,S2-7179008,S2-904347956,S2-906933992,S3-589218934
S1-158753049	S2-350396364,S2-604264016,S2-787565878,S2-988324866,S3-460996033,S3-620804920
S1-739760170	S2-572884238,S3-863850182
S1-435586996	S3-998331090
S1-853829630	S2-192165102,S2-199320615,S2-548450721,S3-578200430
S1-301149309	S2-479284940,S2-892028152,S3-910381537
S1-281408668	S2-23692283,S2-8708548,S3-417634278,S3-512340800
S1-902829449	S2-421579400,S2-783020394,S3-470838240,S3-647338374,S3-715061360,S3-753093343
S1-945924704	S2-630911392,S2-752395454,S3-136097792,S3-65071031
S1-10802286	S2-190163962,S2-42078860,S2-439059133,S2-947156719,S3-35273010,S3-455820655,S3-624125246
S1-83402127	S2-272290151,S2-634293946,S2-66250431,S2-842916378,S3-608771162,S3-932443946
S1-833268125	S2-167701545,S2-81113534,S2-882047184
S1-983198006	S2-715901202
S1-892324295	S3-320226641,S3-514971547
S1-498567090	S2-221123001,S3-612982424
S1-710139409	
S1-881479733	S2-427613199,S2-946876207,S3-317678714,S3-591853542,S3-655428015
S1-821224291	S2-403506738,S3-803724907,S3-94785252
S1-214884127	S2-714063931,S3-851678404
S1-356842693	S2-774562917,S3-954262620
S1-542362386	S3-859540000,S3-909337052,S3-998017573
S1-663067533	S2-112495836,S2-143937181,S3-613211288
S1-121717159	S2-581361414,S3-234375408,S3-975316492
S1-491611009	S2-949398415,S3-133062970,S3-957300057
S1-44785280	S2-63149135,S2-925668631
S1-94703561	S2-156981301,S2-833716779,S3-30164381,S3-385935703,S3-768916154
S1-727589600	S2-893907046
S1-555331810	S2-244548978,S2-458703934,S2-927687234,S3-155250976,S3-816779763,S3-960742546
S1-393240482	S2-382298853,S2-474390649,S2-705247434,S3-969123865,S3-981138261
S1-321306005	S2-825693098,S3-143985594,S3-749042616
S1-153594731	S2-209658522,S2-499747271,S3-461953148,S3-465972250,S3-677554199
S1-353411751	S3-823764893
S1-133050338	S2-210899844,S2-978171371,S3-283192436,S3-491438751,S3-604998008
S1-459297936	S2-392101686,S2-564766778
S1-42402348	S2-134131481,S2-501907327,S2-941774179,S3-139894630,S3-464443424,S3-548317717
S1-792705717	S2-105866597,S2-603915580,S3-252526966,S3-750701606,S3-887582565
S1-954782176	S3-581942815,S3-858380605
S1-200332639	S2-723735383,S3-203804323,S3-578457144,S3-863717766,S3-988699529
S1-95744127	S2-656541052,S2-727073536,S3-179312137,S3-379039764
S1-745478909	S2-390800881,S2-609176450,S3-540352934
S1-530639460	S2-160221902,S2-765282118,S3-116575160,S3-619230254,S3-81271385
S1-159641046	S2-264454826,S3-471339326,S3-589342278
S1-914199557	S2-185023182,S2-783046182,S2-836441382,S2-907548123
S1-716043904	S2-309185915,S3-218083408,S3-832813727,S3-963643040
S1-84540973	S2-167124257,S3-185929397,S3-636020631,S3-840703614
S1-141683936	S2-51704406,S2-815837877,S2-885574157,S3-550874191,S3-575536882,S3-609656929,S3-639365964
S1-594942226	S2-257283762,S2-576245318,S2-768552033
S1-496780343	S2-701019903,S3-36834067
S1-164236538	S2-372227455,S3-12262859,S3-288089967
S1-316021079	S2-162024554,S3-354285826
S1-830776667	S2-700717343,S2-824357833,S3-342033400,S3-51066195,S3-985901686
S1-825411169	S2-549273139,S2-557996746,S3-694044969,S3-696894033
S1-839027913	S2-501866869,S3-323018721,S3-818830238
S1-443605421	S2-655911704,S3-273778002,S3-545102627
S1-733382831	
S1-948342376	
S1-975797180	S2-789778292
S1-823691936	S2-362017970,S3-386417737
S1-178294692	S2-425527496
S1-97942542	S2-904188636,S3-125936517,S3-223764583,S3-301989623,S3-719303312
S1-574959068	S2-555893480,S3-333067761,S3-504366718,S3-505201989
S1-980390394	S3-768457140
S1-113946951	S2-147442636,S2-444058342,S2-743654809,S3-270274320,S3-865998876
S1-878217034	S2-14589744,S2-675254935,S3-763838739
S1-250810347	S2-316942619,S2-595844832,S3-671251635,S3-8459068
S1-796234929	
S1-934003476	S2-468966787,S2-852821507,S3-894103431
S1-211535546	S2-1838652
S1-535840870	S2-532448975,S3-70344709
S1-623475769	S2-461264956,S2-521267627,S3-269194036,S3-639010776
S1-174234108	S2-537574794,S3-822360802,S3-999001990
S1-133479118	S2-922712876,S3-403644134,S3-493415409,S3-602673612,S3-709185163
S1-558794180	
S1-555388048	S2-405435509,S2-560732759
S1-5974875	S2-497689768,S3-34152919,S3-420381198,S3-714823926,S3-742960553
S1-631569262	S3-446499334
S1-985652160	S2-406642416,S3-504496235,S3-615826091
S1-210935903	S2-154679414,S2-388023430,S2-657153982,S2-704632322,S2-842875529,S3-121609463
S1-768015158	S2-114282129,S3-495891586,S3-723991522
S1-441023683	S2-433819177,S2-800718657,S3-46713055,S3-587092994
S1-595374997	S2-293208831,S2-876595795,S3-129082904,S3-253835378,S3-254800941
S1-142553519	S2-617761847,S2-852633529,S3-362159465,S3-445970061
S1-376563089	S2-363932959,S3-710856441,S3-769956447,S3-771984700,S3-813405622
S1-994289509	S3-648282718
S1-414912302	S2-368207193,S2-470166361,S3-50997154,S3-578444610,S3-59250381
S1-559563624	S2-103136730,S3-143138365,S3-655589957
S1-404995167	S2-692204351,S2-784386291,S2-878974315,S3-977252999
S1-576884583	S2-69954254
S1-997417869	S2-674549647,S3-733099800,S3-941535803,S3-950188607
S1-144223421	S3-277737449,S3-843705653
S1-30752064	S2-525997652,S3-347913674,S3-997789709
S1-393903055	S2-304655498,S2-54308139,S3-859477543,S3-867011668
S1-29349535	S3-592390368
S1-952865119	S2-107071192,S2-5062742,S2-740817160,S3-152288304,S3-17493899
S1-656898988	S2-267844540,S2-947183399,S3-407810504,S3-924611187
S1-195659370	S2-68815643,S3-262859400,S3-509992700,S3-774824867,S3-980478653
S1-192464263	
S1-272384681	S2-139165286,S2-552455873,S3-294708759,S3-400716514
S1-605340665	S2-488316674,S3-167093983,S3-774264294,S3-835696575
S1-723532322	S2-125281503,S2-273971803
S1-158534901	
S1-263753520	S2-171637668,S3-119522484,S3-334931219
S1-927745296	S2-16226755,S2-345025523,S2-523287186,S2-61006635,S3-103331717,S3-770133094,S3-781573127,S3-897153829
S1-669312620	S2-344470616,S2-519496063,S2-538737318,S3-346140386,S3-471956305,S3-706740554
S1-291922534	S2-594008761,S2-745482202
S1-108573058	S3-775817300
S1-320583870	S2-548949805,S2-630400131,S3-788033697
S1-513407139	S2-630586931,S2-712565474,S3-124122399,S3-147742565,S3-250902997,S3-812671546
S1-707412941	S2-340141239,S2-367258821,S3-31134626
S1-972452680	S2-524713333,S2-534126090,S2-979134871,S3-170757399,S3-625003577,S3-69294053
S1-260261988	S2-945576273,S3-121979776,S3-457916243,S3-464368280
S1-626837857	
S1-958016851	S2-526135,S2-763374177,S2-765180306,S2-879399136,S3-222487454,S3-394292531
S1-52005849	
S1-728807709	
S1-797337525	S2-197488254,S2-775898493,S2-918473326,S3-464059539
S1-237539441	S3-270619946,S3-709766062
S1-984429646	S2-220749359,S2-862561867,S3-458617417,S3-887261962,S3-975024769
S1-447521690	S2-536816939
S1-126022071	S2-256743409,S2-689638893,S2-75132969,S3-285643585,S3-41744905
S1-621207870	S2-226553410,S2-291615624,S2-633065101,S2-838673872,S3-142908372,S3-143802519,S3-328568381,S3-574449603
S1-9606988	S2-681517374,S3-667075096
S1-577633788	S2-367211974,S2-412569369,S2-908651346,S3-116965329
S1-356272103	S2-158782343,S2-306492852,S3-887173981
S1-45257038	S3-215010021,S3-410400124
S1-83476125	
S1-35908111	S2-392006261,S3-272846089,S3-76647500,S3-809113811
S1-902212841	S2-587547195,S2-732845460,S3-105714046,S3-570396210,S3-791462026
S1-635481769	S2-264720910,S3-594639667,S3-863773329
S1-901286612	S2-910529923,S3-85820406
S1-548791759	S2-973201092,S3-182770463,S3-470839242,S3-524673493
S1-148320332	S2-334699467
S1-890823887	S2-223216806,S3-521290915
S1-856168670	S2-647179457,S3-223975181,S3-779451178
S1-12240557	S2-262548013,S3-454073329
S1-73042441	S2-458498856
S1-727292749	S2-173884657,S2-188747718,S2-856957857,S3-238046816,S3-370952101,S3-454697448
S1-875966477	S2-802102314,S3-835120961
S1-580893806	S2-553181905,S3-750093551,S3-771260029
S1-979621542	S2-12991038,S2-658300587,S2-829775943,S3-315989076,S3-536475049,S3-681736651,S3-809456175,S3-999133820
S1-411111192	S2-470537881,S2-648012884,S3-768611541
S1-171226928	S2-518443780,S2-632375397,S2-92946079,S3-30327252,S3-564493388,S3-983818106
S1-187193171	S2-400696346,S2-711014162,S3-830623064
S1-132586451	S2-722956795,S3-966071880
S1-937822241	S2-25671971,S2-759759864,S2-809720179,S2-898950576,S3-486237414
S1-523368208	S2-209456276,S2-608149969,S3-752103864,S3-999874978
S1-86238158	S2-143882982,S2-256128343,S3-431919812
S1-720025982	S2-666552651,S3-804360428
S1-884351482	S2-393692597,S2-405969718,S3-130229744,S3-662705663,S3-894358799
S1-142550690	S2-978565028,S3-972100558
S1-716024722	S2-785881581,S3-97586276
S1-225015652	S2-151952707,S2-315432336,S3-378808623
S1-438115387	S2-340593119,S2-574617437,S2-576749365,S3-532784674,S3-8037418
S1-402965427	S2-648404217,S3-54093255,S3-56240680,S3-687498930,S3-770986740
S1-667264941	S2-754564101,S3-11054457,S3-810666500,S3-87887761
S1-46506909	S2-973316855,S3-69478476,S3-900110842
S1-24424354	S2-265988328,S3-628495258
S1-807990988	S2-109410959,S3-359179503,S3-378195972
S1-735574718	S2-16091054,S2-502994045,S2-744597756,S2-815455910,S2-902401508,S3-233895378,S3-57381672,S3-737304400
S1-621208988	S2-682448909,S2-900239073,S3-719006744,S3-722698281,S3-813502551
S1-443264302	S2-157878890,S2-356669636,S3-547639613,S3-912351493
S1-910659520	S2-475074856,S2-934015676,S3-240344162,S3-376539061,S3-662518335
S1-521782533	S2-285761233,S3-734272775
S1-516734255	S3-159238066,S3-797992142
S1-604240541	
S1-596665846	S2-76762829,S3-557619767
S1-144748187	S2-921645598
S1-843288007	S2-570131310,S2-815876096,S3-854644248,S3-897019038
S1-589298046	S2-986420260,S3-9144763
S1-718773450	S2-500315890,S2-731954306,S3-366300702,S3-994408477
S1-68764297	S2-553266993,S3-638732165
S1-499068091	S2-688370998,S2-705144353,S3-516872313
S1-690151152	S3-105209173,S3-150805296,S3-900607781
S1-139619805	S2-307706648,S2-61253037,S2-800233585,S3-103564473,S3-320100714,S3-924358017
S1-36216088	S2-418857877,S2-578207235,S2-735272154
S1-505753870	S2-711776087,S3-230234288,S3-929063348
S1-97540739	S2-368525598,S2-516339815,S2-791392248,S3-373736395,S3-728964461,S3-776493699,S3-872864359,S3-903685016
S1-803160097	S2-399026414,S2-734685354,S3-164793220,S3-557276971
S1-919165160	S2-109414699,S2-173741606,S2-816719529,S3-32866218,S3-936599683,S3-946877808
S1-577851772	S2-178235417,S2-685037457,S3-727729826,S3-870289314
S1-531107896	S2-577089889,S3-245654318,S3-707603412,S3-79513128,S3-951268820
S1-631690612	S2-668811814,S2-989014134,S3-19144056,S3-638199910
S1-505611155	S2-254299542,S3-310557605,S3-364447390
S1-410668413	S2-507190615,S2-737132769,S3-386196127,S3-493517158,S3-551388423
S1-875191914	S2-30774651,S2-730386403,S2-997756846,S3-17125433,S3-464017257,S3-941251931
S1-521084426	S2-265867205,S2-472050021,S3-172317902,S3-646557666,S3-919310924
S1-482245935	
S1-325243184	S2-146198659,S2-675073155,S3-479972241
S1-449397951	S2-673912478,S2-9158370,S3-206078520,S3-356643720,S3-575136050
S1-704422081	S2-808114481,S3-169003647,S3-503466532,S3-631163048,S3-800340524
S1-578353639	S2-605501962,S3-947637879
S1-230308182	S2-432506550,S3-33708227,S3-769340752
S1-942384126	S2-324934680,S2-365894137,S3-110868255
S1-361859792	S2-573726039,S2-810585553,S3-135249363,S3-45324372,S3-938952505
S1-140546152	S2-66500934
S1-980481856	S2-491411370,S3-457505674
S1-577222608	S2-215448464,S2-656459981,S2-77786627,S2-817843525,S3-424335247,S3-708011838
S1-317776099	S2-509580574,S3-421845319,S3-811718513,S3-876638792
S1-634246764	S2-522891341,S2-573624350,S2-903664407,S3-197968601,S3-30800438,S3-37877993
S1-26328906	S2-588546731,S3-830159945
S1-26257270	S2-607322546,S2-902564552,S3-211210772,S3-360227409
S1-360834742	S2-503908074,S2-861203099,S3-341145792,S3-538731244
S1-910995242	S2-230428579,S2-592650010,S2-828132065,S3-971376087
S1-177548932	
S1-934827282	S2-622552475,S3-724410749,S3-920704479
S1-622802949	S2-19975235,S2-570715630,S3-378145761
S1-679395886	S2-161225556,S2-213550124,S2-255148519,S2-369992716
S1-416197754	S3-276976568
S1-950328068	S2-783654262,S3-604575230
S1-172627624	S3-525263783
S1-611182218	S2-346736217,S2-353809916,S3-337523703,S3-557248952,S3-867234917
S1-863873241	S2-257167232,S3-131721676,S3-346407755,S3-879674866,S3-894401000
S1-296015030	S2-762867084,S3-469916613
S1-322655550	S3-192503740,S3-252624874
S1-677935743	S2-496283299,S2-578448963,S2-713880206,S2-895505638,S3-436821178,S3-78286800
S1-748801724	S2-371466552,S2-698956471,S2-995836248,S3-378477890,S3-452100535,S3-706986404
S1-816276493	S2-12142227,S3-10253337,S3-479142569,S3-744044534
S1-407432406	S2-220231252,S2-891824100,S2-957686084,S2-97191004,S3-195918970,S3-256200346,S3-74898938
S1-45563729	S3-679552690
S1-455886423	S2-401166227,S3-788721488
S1-438029307	S2-395530013,S2-569053927,S2-59682445,S2-949042788,S3-730384891,S3-841876706
S1-691616670	S2-107217870,S2-229208967,S3-806305714,S3-939665060
S1-764726689	S2-212940261,S2-32633855,S2-395653740,S3-698519941,S3-759799134
S1-919856265	S2-510314780,S3-300099091,S3-622551073,S3-953239724
S1-771021108	S2-403135359,S2-885695811,S2-906733202,S3-184302399
S1-56591462	S2-266712959,S2-866331575,S3-299086504,S3-299290019,S3-967350578
S1-155714047	S2-944837170,S3-569030469,S3-870561286
S1-959596193	
S1-294128479	S2-451707263,S2-546502538,S2-740342349,S3-538991460,S3-586179545
S1-425693286	S3-242418215
S1-561366941	S2-698358818,S2-956941579,S3-229478033,S3-718110537,S3-81732366,S3-901828542
S1-844770393	S2-577251835,S3-232558403,S3-479953326
S1-819320296	S2-978157066,S3-24940906,S3-485534086,S3-881089743
S1-246225268	S2-719794829,S3-272395505
S1-690051769	S2-357005012,S2-989163903,S3-142486674,S3-166248042,S3-622206124
S1-813170327	S2-574606516,S3-951679223
S1-448367080	S2-722589032,S3-536033420
S1-69952960	S2-217469811,S2-736471381
S1-387211283	S2-562053250,S2-610548732,S2-972895314,S3-624697545
S1-520722573	S2-998420561,S3-805470021
S1-539360652	S2-419628755,S2-540940810,S2-984857463
S1-166567943	S2-784068694,S3-612098144,S3-673342043,S3-991162658
S1-221963103	S3-749434807
S1-149175191	S2-655306966,S3-4580463
S1-430162043	S2-831291071,S3-435906091
S1-581606301	S2-116799176,S3-345947515,S3-511523251,S3-573066542,S3-929770206
S1-862712171	S2-206209826,S2-905428491,S2-926902571,S2-974735869,S3-793258563,S3-877969825
S1-582733437	S2-318811948,S2-415686278,S3-108916772,S3-68999863
S1-531429114	
S1-330042716	S2-513539427,S3-648863690,S3-965071737
S1-302558001	S2-221689670,S2-621960749,S3-451208408
S1-456427404	S2-345725843,S3-442326482,S3-718976159,S3-922003653,S3-928215963
S1-689977390	S2-109599074,S3-830410585,S3-848835491
S1-347000383	S3-311691124,S3-804323871
S1-790598760	S2-749113346,S2-984236088,S3-237380605,S3-47043354
S1-68170645	S2-538586895,S2-773927630,S2-89685361,S3-257996729
S1-619552943	S2-960216780,S3-143273381
S1-826880522	S2-129185477,S3-176899673
S1-140915305	S3-131579096,S3-922634740
S1-615265325	S2-524051596,S2-52423327,S3-606384253,S3-960639433
S1-270587511	S2-14411898,S2-821431553,S3-148952273,S3-19954425
S1-302247650	S2-640267097,S3-289282855,S3-739689314
S1-226577000	S2-120256320,S2-96377146,S3-286366713,S3-435104966,S3-471406258,S3-50414644,S3-703747401
S1-895602816	S2-102285263,S2-495815235,S2-795167029,S3-118656129
S1-170142243	S2-288111971,S3-578523134,S3-902600024
S1-236048105	S2-263787016,S2-796081032,S3-136800035,S3-169137908
S1-878786813	
S1-536435138	S2-673195186,S3-262384901,S3-671909315
S1-810086292	S2-475599354,S2-616033211,S2-684965383,S2-977811485,S3-667802512
S1-657519036	S2-331920032,S2-544458156,S2-95774315,S3-264563120
S1-533419421	S2-428375790,S3-324849460,S3-373346664,S3-924062635
S1-236909503	S2-614955104,S3-234441977
S1-725540710	S2-657902660,S2-671195116
S1-902926281	S2-155816868,S3-590705581,S3-640678011,S3-752680533
S1-856522775	S2-269803983,S2-776365599,S3-37729489,S3-870160908
S1-284516393	S2-101145583,S2-17380666,S2-249455107,S3-213234540,S3-710903268
S1-169164639	S3-333113488,S3-461269482,S3-698921924
S1-373896077	S2-116572044,S2-613600660,S3-105954325,S3-291502909
S1-746691693	S2-416200825,S2-518407282
S1-951832034	S2-408677307,S2-691046787,S3-287163256,S3-402101530,S3-51230522,S3-845426456
S1-753419143	S2-822352586,S2-941095079,S3-871746773
S1-767934955	S2-222939040,S3-788159926
S1-138351920	S2-128273531,S2-537264428,S2-807475812,S3-569863137,S3-820323500,S3-965010941
S1-311937192	S2-12646753
S1-845522274	S2-250512226,S2-319049444,S3-127091046,S3-205467537,S3-310770759,S3-972593387
S1-578174893	S2-655862106,S3-24164531,S3-955399846
S1-366004857	S2-41031181,S2-749620863,S3-232091326
S1-117321831	S2-229268750,S2-352623382,S2-822044097,S3-715615431
S1-145276542	S2-45513845,S2-593468467,S3-185468998
S1-522668889	S2-493290276,S2-628331506,S2-89049593,S3-129845560,S3-966339815
S1-817145938	S2-623383145,S2-868890712,S3-190523386
S1-661546405	S2-584423858,S2-719801437,S3-370440733,S3-534432126
S1-784973933	S2-154348047,S2-508973032,S3-744867054,S3-901586764,S3-999005331
S1-75923599	S2-44312769,S2-991992397,S3-139270367,S3-881554920
S1-973936431	S2-343303661,S2-59673302,S3-341693750
S1-155799136	S2-456416966,S2-639934596,S2-810027578,S3-344150764,S3-952412839
S1-614166735	S2-25291679,S2-836231990,S3-244407822,S3-609578756,S3-84053529,S3-974804011
S1-296275047	S3-775937311
S1-621241096	S2-527565372,S2-674262201,S2-771090528,S3-166402364,S3-700958179
S1-164586919	S2-196833241,S2-792014671,S2-863806703,S3-311020666
S1-327066467	S2-790247726,S3-322386930,S3-799716154
S1-655668963	S2-407692499
S1-726365524	S2-168981801,S2-554119899,S2-84819724,S2-96577363,S3-913119857,S3-938695779
S1-228653601	S2-328815826,S3-355030069,S3-433957485,S3-60044945,S3-696916480,S3-89100901
S1-610913484	S3-668897902,S3-692598374,S3-942661821
S1-253227957	S2-801647785,S3-335967923
S1-805836305	
S1-929565562	S2-921187374,S3-16923308,S3-822416158,S3-940793859
S1-293970681	S2-933710746,S3-379233957
S1-859649679	S3-398927335,S3-929487580
S1-296237987	S2-116503479,S2-153307795,S2-641484158,S3-739124653,S3-811620250
S1-511076246	S2-100727491,S2-752334650,S3-460884632
S1-176616076	S2-679266499,S3-717822860,S3-841073006
S1-720812004	S2-177124233,S3-263528154
S1-888728503	S2-684996088,S2-956107214,S3-109760215
S1-56622125	S2-305266914,S2-633381170,S2-644437072,S3-279812093
S1-858859994	
S1-438777523	
S1-202359521	S2-796056399,S3-14054909,S3-147711174
S1-739429454	S2-507404002,S2-650330400,S3-355696140,S3-510393955,S3-593845391,S3-651226938,S3-796673341,S3-940465385
S1-60889636	S2-327785594,S2-386874693,S2-568672826
S1-725284847	
S1-705048374	S2-814689684,S2-881512613,S2-886794092,S3-535933616,S3-573553097
S1-250070625	S2-977759409,S3-520298562,S3-789143446
S1-836720513	S2-309579138,S2-54944062,S2-919500367,S3-558122737,S3-670037219
S1-670137434	S2-764089767
S1-320133494	S2-299739866,S3-169074849,S3-702293784,S3-735994693
S1-724970812	S2-57319272,S2-918382864,S2-974643076,S3-213835616,S3-234882594,S3-842154250,S3-863793742
S1-296416408	S2-147922412,S3-188551640,S3-481168873,S3-562025620,S3-588175833
S1-94816449	S2-452728171,S2-788970928,S3-241280708,S3-822434069
S1-522995114	S2-662095840,S2-994075397,S3-914834449
S1-49584394	S2-153767532,S3-224494923
S1-504862013	S2-643765455,S3-257517051
S1-927470261	S2-322053301,S2-861361793,S3-741911317
S1-417777542	S2-722199212,S3-142047535,S3-263235595,S3-364053902
S1-822548240	S2-311952042,S3-278089488,S3-788054641
S1-76427580	S2-501217318,S2-581867874,S3-463331089
S1-281569207	S2-158818962,S2-461693500,S2-781447259,S3-416342971,S3-975921478
S1-460718306	S2-169777024,S2-891689945,S3-664601597,S3-827676518,S3-998005988
S1-24195381	S2-672242056,S3-230301627
S1-994417851	S2-645708553,S3-552934419
S1-595558619	S2-460847085,S3-711664808,S3-756979148,S3-84758919
S1-707916403	S2-578195413,S2-663381482,S2-781180829,S3-740918157
S1-258608264	S2-147351634,S3-227155621,S3-99318454
S1-163249957	S2-31859358,S3-317047386,S3-404613688,S3-869674570
S1-431442616	S3-598348652
S1-191510054	S2-543220170,S2-879662215,S3-713391404
S1-775889398	S2-14480944,S2-620027920,S2-623347108,S3-372010271,S3-597572013,S3-950204307
S1-239085040	S2-359364213,S2-757381363,S3-409847568,S3-546793705
S1-233112957	S2-122876908,S3-660962904
