source1_entity_id	candidate_entity_ids
S1-983540069	S2-106094298,S2-115376155,S2-12646753,S2-138839775,S2-138966586,S2-1838652,S2-198226220,S2-229301244,S2-238844128,S2-284132288,S2-316092476,S2-329108893,S2-331353744,S2-339334392,S2-342019909,S2-358267158,S2-358855638,S2-367425597,S2-384146739,S2-395151585,S2-398576823,S2-4190133,S2-450451576,S2-475286839,S2-487295116,S2-51233452,S2-537357054,S2-558271124,S2-563944797,S2-571700196,S2-638022376,S2-643658846,S2-724107627,S2-736660881,S2-751285522,S2-764984734,S2-78178709,S2-817711746,S2-839649925,S2-846902267,S2-859028958,S2-873125042,S2-881241751,S2-896216609,S2-9158370,S2-978873292,S2-981531199,S2-982855897,S2-996620656,S3-113159442,S3-12082260,S3-128967763,S3-154283903,S3-155250976,S3-160903241,S3-18925596,S3-192725946,S3-192823377,S3-206078520,S3-234039030,S3-245510192,S3-246343643,S3-259716637,S3-273823706,S3-274160205,S3-276156660,S3-325652791,S3-338506200,S3-354116562,S3-354183623,S3-356160195,S3-356643720,S3-367897036,S3-37005804,S3-371500659,S3-39314282,S3-393550824,S3-403541701,S3-435171628,S3-438118974,S3-446802743,S3-457076475,S3-462289446,S3-463709098,S3-468267240,S3-476760931,S3-478044385,S3-569309125,S3-578502027,S3-581048467,S3-586497664,S3-592949905,S3-610273510,S3-611345729,S3-613804491,S3-619192116,S3-662987550,S3-664918305,S3-700156182,S3-705817960,S3-71794421,S3-728742174,S3-73119196,S3-747195355,S3-751497207,S3-751644206,S3-768611541,S3-769290472,S3-786303139,S3-803702546,S3-816779763,S3-852630510,S3-86993734,S3-885403901,S3-892104032,S3-902049188,S3-915672260,S3-925180963,S3-927077081,S3-955940430,S3-969850098,S3-976783203,S3-978970499,S3-987153108,S3-998331090
S1-642488269	S2-109380656,S2-119475598,S2-143641149,S2-143937181,S2-150646254,S2-165710574,S2-184453112,S2-216050037,S2-241271291,S2-243654,S2-261047645,S2-346537077,S2-364151731,S2-367258821,S2-389881931,S2-414681753,S2-468319064,S2-498910744,S2-634532139,S2-765339178,S2-782747418,S2-807174498,S2-848734045,S2-884096070,S2-886667346,S2-916653978,S2-924708653,S3-131132420,S3-168733158,S3-194993293,S3-292464715,S3-309084642,S3-336980923,S3-341159746,S3-365450023,S3-439288195,S3-44558164,S3-454100096,S3-526893094,S3-556624251,S3-58464681,S3-620735903,S3-658372140,S3-659780993,S3-729717147,S3-766371265,S3-772363302,S3-794991282,S3-804472385,S3-843758176,S3-893239625,S3-900309858,S3-926909788,S3-938872677,S3-956822310
S1-426953208	S2-118798004,S2-152466654,S2-154966534,S2-169205921,S2-232102796,S2-257167232,S2-327481681,S2-346970078,S2-376123131,S2-385136378,S2-410038259,S2-41922818,S2-442480517,S2-486694290,S2-492049010,S2-526918257,S2-56409397,S2-603199832,S2-620266605,S2-645708553,S2-659524813,S2-693295765,S2-71118248,S2-775728442,S2-84470408,S2-853050643,S2-943910722,S2-965136229,S3-112060410,S3-123927121,S3-130696594,S3-131721676,S3-153801447,S3-177771704,S3-178506648,S3-255726763,S3-27419945,S3-28873453,S3-294220775,S3-303022142,S3-309745230,S3-320305639,S3-330819499,S3-33108087,S3-338042703,S3-346407755,S3-37447706,S3-382543214,S3-390811457,S3-414578809,S3-441779672,S3-452070689,S3-481381814,S3-514662539,S3-552934419,S3-553118175,S3-563634964,S3-631081991,S3-642910425,S3-673987769,S3-678200717,S3-712667029,S3-721846607,S3-762236168,S3-812733315,S3-817675897,S3-858871234,S3-872448677,S3-883961161,S3-894401000,S3-91987336,S3-926530083,S3-950519904,S3-956147148,S3-982202331
S1-818320211	S2-107089037,S2-117375301,S2-131879162,S2-132310962,S2-134896049,S2-201139434,S2-222160023,S2-225479220,S2-247550762,S2-277321971,S2-300980229,S2-323802851,S2-343790643,S2-351154364,S2-363375112,S2-371553869,S2-375884363,S2-378473675,S2-378670649,S2-391631936,S2-400878491,S2-407227278,S2-417539103,S2-453054476,S2-45647833,S2-474577382,S2-485554451,S2-491611096,S2-513449449,S2-53558047,S2-535624502,S2-553277174,S2-560057171,S2-571700196,S2-603458950,S2-611572594,S2-65941424,S2-691567771,S2-714539813,S2-773075095,S2-781289854,S2-789226248,S2-79024900,S2-800099165,S2-812839207,S2-817374918,S2-822763429,S2-8382760,S2-840923095,S2-84440745,S2-859296164,S2-877127509,S2-889149162,S2-90020839,S2-90470340,S2-925271650,S2-929399785,S2-932426204,S2-934987433,S2-937810085,S2-948521115,S2-959103737,S2-962600135,S2-983117446,S2-986403730,S2-993714678,S3-100379917,S3-124901544,S3-12964700,S3-130476119,S3-130775301,S3-131402087,S3-134035145,S3-152856247,S3-154807971,S3-154968752,S3-160436041,S3-164326945,S3-192744866,S3-195997256,S3-237718292,S3-25246144,S3-257197675,S3-259209156,S3-287503977,S3-30005277,S3-322347143,S3-329877531,S3-362243084,S3-393300053,S3-397382535,S3-411197621,S3-430701515,S3-455841462,S3-473594433,S3-486567268,S3-497227706,S3-511855897,S3-52431528,S3-577195301,S3-611414787,S3-626069846,S3-62940186,S3-677044376,S3-695103509,S3-750578843,S3-806476865,S3-84045844,S3-855882420,S3-859540000,S3-862569559,S3-868379280,S3-882784130,S3-884375426,S3-892517932,S3-926286339,S3-939560890,S3-950133923,S3-959735414,S3-966620506,S3-967376075,S3-989813540,S3-995932709,S3-998017573
S1-33984562	S2-120229924,S2-13043149,S2-162818519,S2-16557943,S2-19055173,S2-192857282,S2-21493091,S2-2251172,S2-240937471,S2-255338248,S2-281446020,S2-324482807,S2-355977389,S2-36061379,S2-42240112,S2-4409287,S2-460979659,S2-465850515,S2-477172236,S2-504800599,S2-527203686,S2-532090023,S2-570715630,S2-580668705,S2-637837907,S2-647338340,S2-654828668,S2-676280381,S2-705124518,S2-723656114,S2-747880143,S2-763581580,S2-796056399,S2-809263359,S2-838161675,S2-842862139,S2-858316339,S2-864033356,S2-868652736,S2-891882558,S2-904412198,S2-906774385,S3-104917047,S3-122111135,S3-128384129,S3-141401896,S3-160409138,S3-168948,S3-184791326,S3-206064045,S3-231422148,S3-245442044,S3-253169325,S3-257383826,S3-259229245,S3-296444583,S3-304839108,S3-327229522,S3-328060569,S3-384966332,S3-387563114,S3-409566858,S3-415533273,S3-41592555,S3-442326482,S3-468658814,S3-478421054,S3-478929518,S3-494410612,S3-516417565,S3-55456391,S3-569085578,S3-569900257,S3-601321135,S3-615960926,S3-646726988,S3-647027547,S3-659039170,S3-688680940,S3-700198293,S3-742289065,S3-742350942,S3-744986958,S3-769253423,S3-785730826,S3-817026958,S3-851328079,S3-85653264,S3-873526616,S3-874541953,S3-915725003,S3-919248227,S3-922003653,S3-928215963
S1-709960468	S2-122923810,S2-130875855,S2-13808676,S2-170342262,S2-173021433,S2-216219283,S2-229564364,S2-257613400,S2-275779541,S2-278269475,S2-31127123,S2-318353195,S2-323255855,S2-326167356,S2-342293989,S2-351050869,S2-382953092,S2-446270955,S2-452120619,S2-488475367,S2-505186857,S2-506294145,S2-519500095,S2-524053291,S2-532448975,S2-535579795,S2-604227852,S2-632195157,S2-670254891,S2-704156618,S2-725210195,S2-737358616,S2-74032476,S2-745213771,S2-780510133,S2-783218448,S2-790332021,S2-83225130,S2-839011449,S2-891980419,S2-912746519,S2-915294620,S2-979685991,S3-104536432,S3-110234348,S3-120974616,S3-140736090,S3-143280710,S3-165186785,S3-167025676,S3-224724256,S3-259331523,S3-275256305,S3-30996145,S3-335719013,S3-33715844,S3-338113447,S3-347400419,S3-363174297,S3-364447390,S3-398545940,S3-399749405,S3-422878005,S3-436132527,S3-458259316,S3-506367144,S3-527519177,S3-543195130,S3-58751681,S3-600695306,S3-619124038,S3-674687775,S3-689703008,S3-693943149,S3-70344709,S3-717996744,S3-718110537,S3-732142636,S3-742280156,S3-762895097,S3-791211006,S3-832263705,S3-851277886,S3-879377882,S3-884593746,S3-884965943,S3-893239625,S3-89755169,S3-916705552,S3-933325359,S3-944123046,S3-98303492
S1-986840295	S2-132490191,S2-152466654,S2-16863406,S2-27682958,S2-299296375,S2-330903422,S2-358520598,S2-359999327,S2-372944789,S2-375590937,S2-409370565,S2-421905325,S2-434170203,S2-449812597,S2-465649082,S2-522145854,S2-526450568,S2-572345061,S2-57565237,S2-58433036,S2-597883863,S2-63671537,S2-639456855,S2-725373367,S2-754888386,S2-756612402,S2-759923677,S2-76272662,S2-798920285,S2-814689684,S2-886794092,S2-899013052,S2-909465811,S2-929796726,S2-947313818,S3-119420975,S3-148447620,S3-230100035,S3-256391154,S3-260574823,S3-291912297,S3-298359339,S3-313157124,S3-345954218,S3-35168866,S3-371892289,S3-396024428,S3-429434793,S3-466403313,S3-522899841,S3-535933616,S3-537817858,S3-573553097,S3-641231253,S3-649197742,S3-656046610,S3-674755345,S3-69377277,S3-702940452,S3-736361542,S3-741403272,S3-754054662,S3-76563486,S3-792491090,S3-804275408,S3-828941299,S3-839157723,S3-853309450,S3-881497081,S3-900182732,S3-905060032,S3-925613784
S1-836296604	S2-14100217,S2-153080655,S2-175897930,S2-223850177,S2-230089308,S2-230416131,S2-238722533,S2-25657215,S2-257266208,S2-263520500,S2-26777433,S2-274094595,S2-277904545,S2-330754810,S2-363932959,S2-37106749,S2-371223889,S2-37848567,S2-387835753,S2-414640650,S2-418905490,S2-422114461,S2-429438044,S2-440409042,S2-464453661,S2-468833882,S2-479672062,S2-483349273,S2-483730262,S2-48537853,S2-496283299,S2-499283141,S2-510314780,S2-540092702,S2-578448963,S2-582791835,S2-589881795,S2-593468467,S2-631155491,S2-634340571,S2-717474546,S2-723907770,S2-733941294,S2-758308282,S2-761653886,S2-770398305,S2-776108614,S2-780547093,S2-784068694,S2-798385400,S2-861325973,S2-875324916,S2-885817988,S2-895505638,S2-899734406,S2-943990683,S2-97515221,S2-985379371,S2-992532092,S3-143560257,S3-161260530,S3-174036202,S3-176929729,S3-182494616,S3-185675242,S3-189736509,S3-204602296,S3-25246144,S3-257652798,S3-258029988,S3-282205144,S3-286106440,S3-296424044,S3-333203035,S3-346227482,S3-354651152,S3-357515885,S3-358798455,S3-376278498,S3-413835820,S3-417338352,S3-441780973,S3-446153310,S3-455032999,S3-460434158,S3-470967888,S3-511855897,S3-52431528,S3-551575520,S3-577195301,S3-581173831,S3-582942704,S3-638474188,S3-651058943,S3-66628951,S3-700156182,S3-702377636,S3-720901503,S3-73119196,S3-74821306,S3-758933392,S3-766250904,S3-777663931,S3-780315611,S3-785125427,S3-792519134,S3-793775308,S3-794324526,S3-803062649,S3-859302306,S3-86015745,S3-880241712,S3-912232319,S3-929487580,S3-946443220,S3-965459174,S3-974692977
S1-975412735	S2-160071093,S2-169715643,S2-207870499,S2-212959052,S2-263679182,S2-26697701,S2-27559629,S2-304702555,S2-344368202,S2-351039248,S2-362632148,S2-386405719,S2-398021126,S2-452241176,S2-462231025,S2-464601988,S2-465185687,S2-506731445,S2-506890293,S2-522145854,S2-587528737,S2-631015599,S2-688089654,S2-714063931,S2-735858614,S2-753869281,S2-762599783,S2-77045280,S2-772733662,S2-778553317,S2-784038194,S2-817809716,S2-831169888,S2-927194341,S2-927211613,S2-930314889,S2-97147841,S3-17173160,S3-174489848,S3-204190722,S3-217779477,S3-218143295,S3-29681031,S3-296934550,S3-331078749,S3-376731514,S3-376746473,S3-394671174,S3-417307748,S3-454316628,S3-454992702,S3-507105945,S3-527919589,S3-536010023,S3-550868183,S3-556760803,S3-589965667,S3-618405516,S3-623889679,S3-68089048,S3-70425330,S3-714552639,S3-723454452,S3-749555726,S3-832367044,S3-83826747,S3-871317615,S3-871834130,S3-922768829,S3-950808569,S3-970309014,S3-982622635
S1-739708548	S2-114465921,S2-119026239,S2-123928533,S2-148118723,S2-157264852,S2-173741606,S2-182451150,S2-198613167,S2-201442439,S2-205379567,S2-212034173,S2-249511951,S2-3050665,S2-30596657,S2-337287946,S2-341231328,S2-341758664,S2-350529851,S2-359880151,S2-362218304,S2-377498384,S2-380362280,S2-381280185,S2-389598827,S2-38967620,S2-392293287,S2-400682766,S2-405761831,S2-407950253,S2-409158734,S2-439027465,S2-472108015,S2-472925626,S2-484132746,S2-503906699,S2-517209569,S2-517231159,S2-574617437,S2-576749365,S2-592065502,S2-613048206,S2-623781980,S2-630579272,S2-638101317,S2-686904198,S2-730333885,S2-748898320,S2-748988045,S2-7826398,S2-834317317,S2-839750178,S2-849068661,S2-860350267,S2-868722627,S2-901001932,S2-911917753,S2-922622641,S2-951950765,S2-978873292,S2-983924747,S3-101538028,S3-127289081,S3-131107882,S3-143802519,S3-146113092,S3-162574620,S3-181827371,S3-191886085,S3-194011317,S3-196083993,S3-220027539,S3-253322281,S3-2677141,S3-272318783,S3-279812093,S3-301206769,S3-322757804,S3-328568381,S3-32866218,S3-33459694,S3-345386702,S3-347828486,S3-351152963,S3-354285826,S3-410505789,S3-411186512,S3-425105238,S3-441939120,S3-456424446,S3-46025111,S3-463553600,S3-484517404,S3-532784674,S3-558455512,S3-564841594,S3-567162063,S3-607675297,S3-617682117,S3-630335888,S3-631858568,S3-639795248,S3-641966046,S3-651790413,S3-654401889,S3-655622068,S3-65723700,S3-662987550,S3-681792124,S3-690341042,S3-710392115,S3-738311205,S3-74485492,S3-792939040,S3-793159452,S3-79554412,S3-795746510,S3-803013209,S3-826652537,S3-863995751,S3-870834106,S3-875055849,S3-875976353,S3-885597637,S3-911669934,S3-921434194,S3-936599683,S3-944099664,S3-946877808,S3-97073610,S3-975179311,S3-980121678,S3-997018571,S3-999713742
S1-721469485	S2-102009837,S2-105004797,S2-11198431,S2-122328639,S2-13335367,S2-191934948,S2-194034279,S2-206866634,S2-213342835,S2-234724885,S2-238869418,S2-249963674,S2-251573774,S2-314317780,S2-321559511,S2-343226413,S2-351039248,S2-400262516,S2-402560168,S2-453647532,S2-458498856,S2-51113746,S2-52935233,S2-534889501,S2-541846513,S2-543086165,S2-550986538,S2-586626603,S2-636345851,S2-644723501,S2-646524755,S2-648578509,S2-705879577,S2-725373367,S2-731750042,S2-754792956,S2-757631317,S2-766110823,S2-824336574,S2-876316492,S2-886667346,S2-895186263,S2-909465811,S2-960995084,S2-975224346,S2-98296923,S3-124646498,S3-124789381,S3-126503461,S3-142238950,S3-16939958,S3-195718192,S3-216742503,S3-220285124,S3-246763893,S3-247726965,S3-285139890,S3-294484927,S3-302417398,S3-349943429,S3-385111375,S3-386295204,S3-389981684,S3-401976049,S3-40501734,S3-428071569,S3-429779063,S3-45845630,S3-530850396,S3-53293984,S3-547639613,S3-547926341,S3-551004829,S3-62920376,S3-642910425,S3-647915925,S3-657507586,S3-68089048,S3-681683629,S3-695353769,S3-715432797,S3-726405523,S3-759034411,S3-762879255,S3-801405844,S3-807906276,S3-816866891,S3-828041254,S3-847232122,S3-868649926,S3-89442356,S3-906407468,S3-912263475,S3-930550638,S3-931777085,S3-949064223,S3-952061572,S3-967625594,S3-967673721,S3-983354464,S3-988327012
