source1_entity_id	matched_entity_id	source
S1-98197393	S3-207042136	S3
S1-98197393	S3-995835443	S3
S1-98197393	S2-18115057	S2
S1-98197393	S3-633518325	S3
S1-47040385	S3-768039486	S3
S1-47040385	S2-822098743	S2
S1-164081713	S2-353412345	S2
S1-164081713	S3-293482044	S3
S1-164081713	S3-947621347	S3
S1-164081713	S2-86251493	S2
S1-164081713	S2-320022558	S2
S1-164081713	S2-940155859	S2
S1-164081713	S2-900805264	S2
S1-491313845	S3-985246887	S3
S1-491313845	S2-631229265	S2
S1-491313845	S3-262966992	S3
S1-491313845	S3-3193758	S3
S1-491313845	S2-896191138	S2
S1-491313845	S2-288514988	S2
S1-491313845	S2-618672958	S2
S1-488702780	S2-496079756	S2
S1-488702780	S3-790983010	S3
S1-488702780	S3-589242848	S3
S1-488702780	S3-428742731	S3
S1-680356898	S3-321821996	S3
S1-481363029	S2-700455471	S2
S1-481363029	S2-469898565	S2
S1-481363029	S2-330197205	S2
S1-24115094	S2-31424651	S2
S1-24115094	S3-218732115	S3
S1-24115094	S2-435892221	S2
S1-689977390	S3-848835491	S3
S1-689977390	S3-830410585	S3
S1-689977390	S2-109599074	S2
S1-477343565	S2-27912484	S2
S1-477343565	S3-833914810	S3
S1-477343565	S3-801892378	S3
S1-940949278	S3-414546090	S3
S1-940949278	S2-273520923	S2
S1-940949278	S2-910775437	S2
S1-940949278	S3-866785467	S3
S1-940949278	S2-910714495	S2
S1-551615800	S2-296702818	S2
S1-551615800	S3-546998874	S3
S1-551615800	S3-968806559	S3
S1-551615800	S3-563157578	S3
S1-551615800	S2-215703608	S2
S1-551615800	S3-518989322	S3
S1-551615800	S2-22476218	S2
S1-728270873	S3-505952521	S3
S1-728270873	S3-80700506	S3
S1-728270873	S3-453582678	S3
S1-728270873	S3-798095387	S3
S1-405521342	S3-495160595	S3
S1-405521342	S2-921599532	S2
S1-405521342	S2-716592306	S2
S1-405521342	S2-298737486	S2
S1-406214982	S2-656874454	S2
S1-406214982	S3-163594804	S3
S1-406214982	S3-474258232	S3
S1-406214982	S2-99432042	S2
S1-406214982	S2-990109360	S2
S1-27453021	S2-145496910	S2
S1-27453021	S3-441135734	S3
S1-27453021	S2-499201356	S2
S1-27453021	S3-5289323	S3
S1-27453021	S3-975815783	S3
S1-27453021	S3-252828722	S3
S1-27453021	S2-709434322	S2
S1-205432256	S2-724656992	S2
S1-205432256	S3-139336736	S3
S1-205432256	S2-588164013	S2
S1-205432256	S2-128286850	S2
S1-205432256	S3-510788470	S3
S1-205432256	S3-245918483	S3
S1-373896077	S2-613600660	S2
S1-373896077	S2-116572044	S2
S1-373896077	S3-291502909	S3
S1-373896077	S3-105954325	S3
S1-415192963	S3-924961838	S3
S1-415192963	S3-622713930	S3
S1-415192963	S2-388413992	S2
S1-451119317	S2-21502080	S2
S1-451119317	S3-237141577	S3
S1-451119317	S3-19815285	S3
S1-451119317	S3-711000375	S3
S1-451119317	S3-804233376	S3
S1-160619866	S3-530873203	S3
S1-160619866	S3-169214554	S3
S1-160619866	S2-712636247	S2
S1-497997494	S2-983399609	S2
S1-497997494	S2-265266256	S2
S1-497997494	S2-913109555	S2
S1-497997494	S3-166030131	S3
S1-497997494	S3-485661634	S3
S1-622054204	S3-734183011	S3
S1-622054204	S2-67399515	S2
S1-622054204	S2-297069370	S2
S1-622054204	S2-959746512	S2
S1-622054204	S3-492653407	S3
S1-425029735	S3-382987341	S3
S1-425029735	S3-90910928	S3
S1-425029735	S3-156430990	S3
S1-425029735	S2-236190743	S2
S1-425029735	S2-747698604	S2
S1-396016027	S2-985489051	S2
S1-396016027	S3-183697138	S3
S1-887453047	S2-628105540	S2
S1-887453047	S3-53072973	S3
S1-714374058	S3-583474263	S3
S1-714374058	S2-451408957	S2
S1-714374058	S3-955781690	S3
S1-284409617	S3-806974952	S3
S1-284409617	S2-524819132	S2
S1-284409617	S2-380779218	S2
S1-284409617	S2-139840328	S2
S1-362524142	S3-94466200	S3
S1-362524142	S3-236507933	S3
S1-362524142	S2-145322696	S2
S1-362524142	S3-542188406	S3
S1-601839146	S2-227670964	S2
S1-601839146	S3-689369051	S3
S1-601839146	S2-712178571	S2
S1-868054757	S2-21231388	S2
S1-868054757	S3-646981701	S3
S1-868054757	S2-778495202	S2
S1-868054757	S3-375147053	S3
S1-178294692	S2-425527496	S2
S1-290109287	S2-107994891	S2
S1-290109287	S3-159953875	S3
S1-290109287	S3-966758617	S3
S1-290109287	S3-95997517	S3
S1-954375720	S2-99541557	S2
S1-954375720	S3-428739209	S3
S1-954375720	S2-994175302	S2
S1-841236317	S3-964355285	S3
S1-841236317	S2-325095248	S2
S1-841236317	S3-431702898	S3
S1-841236317	S3-345349021	S3
S1-841236317	S3-223774170	S3
S1-841236317	S2-312843542	S2
S1-47225325	S2-781698069	S2
S1-47225325	S3-642783386	S3
S1-536126146	S3-341361532	S3
S1-536126146	S3-132983637	S3
S1-536126146	S2-188536905	S2
S1-393919545	S2-729877529	S2
S1-393919545	S3-937068146	S3
S1-393919545	S2-623409614	S2
S1-582046795	S2-80418520	S2
S1-582046795	S2-835584690	S2
S1-582046795	S2-426165312	S2
S1-987005689	S3-222272591	S3
S1-987005689	S2-525936187	S2
S1-813298272	S3-308721878	S3
S1-813298272	S3-502232847	S3
S1-702724995	S3-18714279	S3
S1-702724995	S3-571784462	S3
S1-764129222	S2-861747983	S2
S1-764129222	S2-314873506	S2
S1-764129222	S2-432362640	S2
S1-764129222	S3-129901449	S3
S1-311158779	S2-972688049	S2
S1-311158779	S2-956326668	S2
S1-20728743	S3-981605212	S3
S1-20728743	S3-496512787	S3
S1-505693918	S3-901706074	S3
S1-505693918	S3-507623331	S3
S1-505693918	S2-172859854	S2
S1-505693918	S2-839124646	S2
S1-429900267	S2-867726523	S2
S1-429900267	S2-785239799	S2
S1-429900267	S3-260949818	S3
S1-429900267	S2-2517597	S2
S1-429900267	S2-554640007	S2
S1-53966414	S3-105543843	S3
S1-53966414	S3-34994369	S3
S1-53966414	S2-437621319	S2
S1-53966414	S3-166162723	S3
S1-53966414	S3-808873473	S3
S1-871785372	S3-196362105	S3
S1-871785372	S3-461504388	S3
S1-738397946	S3-459916805	S3
S1-738397946	S2-130980975	S2
S1-925840718	S2-315563123	S2
S1-925840718	S3-810104532	S3
S1-925840718	S2-94888764	S2
S1-925840718	S3-679652465	S3
S1-925840718	S3-415842997	S3
S1-359389192	S3-745065773	S3
S1-359389192	S2-179137984	S2
S1-359389192	S2-292514192	S2
S1-379654996	S2-68943153	S2
S1-379654996	S3-163029054	S3
S1-379654996	S3-781071125	S3
S1-379654996	S3-890422694	S3
S1-379654996	S2-327161308	S2
S1-379654996	S2-858211242	S2
S1-270643653	S2-579322369	S2
S1-270643653	S2-818051125	S2
S1-270643653	S3-380996309	S3
S1-270643653	S2-389429882	S2
S1-270643653	S2-989572336	S2
S1-440383221	S2-789245894	S2
S1-440383221	S3-23752318	S3
S1-440383221	S2-80844007	S2
S1-440383221	S2-107998199	S2
S1-958297307	S3-278439020	S3
S1-958297307	S2-180499790	S2
S1-958297307	S2-753140238	S2
S1-958297307	S3-103154542	S3
S1-453165199	S3-350986071	S3
S1-453165199	S3-29347071	S3
S1-453165199	S2-139235401	S2
S1-453165199	S3-628698055	S3
S1-79144137	S2-452046988	S2
S1-79144137	S3-122540773	S3
S1-79144137	S2-870574764	S2
S1-79144137	S2-556952204	S2
S1-79144137	S3-86155957	S3
S1-255452144	S2-795118962	S2
S1-255452144	S2-596846096	S2
S1-255452144	S3-419907584	S3
S1-255452144	S3-757144980	S3
S1-423973106	S2-762614150	S2
S1-236909503	S2-614955104	S2
S1-236909503	S3-234441977	S3
S1-227176635	S2-459853652	S2
S1-961613339	S2-539580906	S2
S1-961613339	S2-967935805	S2
S1-25312162	S3-581325184	S3
S1-25312162	S2-866264029	S2
S1-25312162	S3-319996259	S3
S1-507357083	S2-251139041	S2
S1-507357083	S2-423391591	S2
S1-507357083	S2-153922613	S2
S1-507357083	S3-935777328	S3
S1-507357083	S3-207843341	S3
S1-317851611	S3-362683478	S3
S1-317851611	S2-796808731	S2
S1-992143437	S3-176279450	S3
S1-992143437	S2-197829071	S2
S1-527768007	S3-608748513	S3
S1-527768007	S2-371099745	S2
S1-527768007	S3-449539930	S3
S1-527768007	S3-867385503	S3
S1-981925901	S3-308381813	S3
S1-981925901	S2-835576642	S2
S1-981925901	S3-68295852	S3
S1-631670392	S3-786722266	S3
S1-631670392	S3-711797603	S3
S1-631670392	S2-526514291	S2
S1-977292711	S2-256007340	S2
S1-977292711	S3-98571430	S3
S1-839309172	S3-964755599	S3
S1-839309172	S2-248600188	S2
S1-839309172	S3-382859128	S3
S1-839309172	S2-685144905	S2
S1-962341953	S3-789224722	S3
S1-962341953	S2-182338518	S2
S1-962341953	S3-324985892	S3
S1-962341953	S2-891454874	S2
S1-962341953	S3-455276739	S3
S1-962341953	S2-873709946	S2
S1-962341953	S3-117569326	S3
S1-962341953	S3-654048899	S3
S1-739996933	S3-426149439	S3
S1-739996933	S2-811829805	S2
S1-683081860	S2-544445281	S2
S1-683081860	S2-386051235	S2
S1-853379544	S3-835125342	S3
S1-853379544	S2-911619121	S2
S1-853379544	S3-785407249	S3
S1-607312695	S3-558439466	S3
S1-645650011	S2-118290954	S2
S1-645650011	S3-342224880	S3
S1-645650011	S2-405551699	S2
S1-645650011	S3-267210974	S3
S1-645650011	S2-964131152	S2
S1-645650011	S2-213454809	S2
S1-546165896	S3-597524075	S3
S1-546165896	S3-201076481	S3
S1-282295416	S2-141734634	S2
S1-282295416	S3-543582133	S3
S1-282295416	S2-320376243	S2
S1-282295416	S3-38666642	S3
S1-282295416	S2-858783444	S2
S1-282295416	S3-920471890	S3
S1-53811749	S2-2372515	S2
S1-53811749	S3-234365735	S3
S1-53811749	S2-270142935	S2
S1-501127978	S2-867320619	S2
S1-501127978	S2-337704248	S2
S1-509498169	S2-512182371	S2
S1-509498169	S3-601921872	S3
S1-575642900	S3-150291009	S3
S1-575642900	S2-729234998	S2
S1-360463908	S3-867929626	S3
S1-360463908	S2-635888851	S2
S1-360463908	S2-627837405	S2
S1-360463908	S3-857557910	S3
S1-205806884	S2-481046975	S2
S1-205806884	S3-591317149	S3
S1-205806884	S3-261504242	S3
S1-205806884	S3-321758949	S3
S1-205806884	S2-416410178	S2
S1-864735768	S3-314390588	S3
S1-864735768	S2-446528601	S2
S1-864735768	S2-27438327	S2
S1-864735768	S2-710611767	S2
S1-864735768	S3-685872872	S3
S1-544920175	S3-383720421	S3
S1-544920175	S2-478485093	S2
S1-544920175	S2-668659152	S2
S1-104419363	S2-445721532	S2
S1-104419363	S3-329513249	S3
S1-104419363	S3-949678702	S3
S1-104419363	S2-473891873	S2
S1-618560153	S3-125749589	S3
S1-618560153	S2-531473834	S2
S1-277675102	S3-78423873	S3
S1-277675102	S2-427765753	S2
S1-501961922	S2-309876166	S2
S1-501961922	S3-869587585	S3
S1-501961922	S3-318160470	S3
S1-501961922	S2-742364776	S2
S1-371170359	S3-440478025	S3
S1-371170359	S2-472922695	S2
S1-371170359	S3-310815329	S3
S1-371170359	S3-199814758	S3
S1-371170359	S3-15925508	S3
S1-371170359	S2-691030343	S2
S1-557145214	S3-42540468	S3
S1-557145214	S3-243065557	S3
S1-557145214	S3-556504065	S3
S1-557145214	S3-970692839	S3
S1-557145214	S3-309860472	S3
S1-541652796	S2-773814500	S2
S1-541652796	S3-377484195	S3
S1-541652796	S3-962839251	S3
S1-392138809	S2-313151748	S2
S1-392138809	S2-399306398	S2
S1-392138809	S3-904555347	S3
S1-392138809	S3-47054772	S3
S1-572646151	S2-811280559	S2
S1-572646151	S3-554630386	S3
S1-80713863	S3-850279507	S3
S1-80713863	S3-854095528	S3
S1-80713863	S3-566177497	S3
S1-974350533	S2-937790618	S2
S1-974350533	S2-631793903	S2
S1-974350533	S3-513515290	S3
S1-974350533	S2-166793474	S2
S1-974350533	S2-108735976	S2
S1-845390095	S3-411631458	S3
S1-845390095	S2-817895634	S2
S1-845390095	S3-113264744	S3
S1-81687190	S2-352791706	S2
S1-81687190	S2-435903969	S2
S1-81687190	S3-494771073	S3
S1-81687190	S3-866238042	S3
S1-81687190	S3-947415198	S3
S1-81687190	S3-947757386	S3
S1-238570410	S2-351129559	S2
S1-238570410	S3-327287603	S3
S1-238570410	S2-130140251	S2
S1-337397588	S3-961506976	S3
S1-337397588	S3-395617484	S3
S1-337397588	S3-217406382	S3
S1-451251131	S3-302100855	S3
S1-451251131	S3-132873102	S3
S1-451251131	S2-969195676	S2
S1-521458401	S2-720708120	S2
S1-521458401	S3-550844652	S3
S1-521458401	S3-215725909	S3
S1-521458401	S2-389947983	S2
S1-521458401	S3-546652805	S3
S1-521458401	S3-846939423	S3
S1-983722158	S3-930833507	S3
S1-983722158	S3-823499805	S3
S1-983722158	S3-584439177	S3
S1-983722158	S2-1640301	S2
S1-603550112	S3-806073863	S3
S1-603550112	S3-525551541	S3
S1-603550112	S2-866284436	S2
S1-501005663	S3-395226266	S3
S1-501005663	S2-991414414	S2
S1-636801095	S3-908072020	S3
S1-636801095	S2-44095323	S2
S1-210935903	S2-704632322	S2
S1-210935903	S2-842875529	S2
S1-210935903	S2-154679414	S2
S1-210935903	S2-657153982	S2
S1-210935903	S3-121609463	S3
S1-210935903	S2-388023430	S2
S1-634109947	S2-254294294	S2
S1-634109947	S2-27742879	S2
S1-634109947	S2-549525732	S2
S1-634109947	S3-202447353	S3
S1-392618598	S3-710627057	S3
S1-392618598	S2-972121793	S2
S1-392618598	S2-477996501	S2
S1-193715603	S3-551973500	S3
S1-193715603	S3-439774087	S3
S1-193715603	S3-587397419	S3
S1-193715603	S3-609855096	S3
S1-350243012	S3-540593284	S3
S1-350243012	S2-257287297	S2
S1-350243012	S3-893741992	S3
S1-361163422	S3-402230621	S3
S1-361163422	S3-196862585	S3
S1-361163422	S2-895004461	S2
S1-361163422	S2-457473547	S2
S1-361163422	S3-940970250	S3
S1-398033319	S2-133852144	S2
S1-398033319	S3-471232233	S3
S1-398033319	S2-908772586	S2
S1-398033319	S3-312674075	S3
S1-301092232	S3-227915658	S3
S1-301092232	S3-411622013	S3
S1-178471187	S3-735508708	S3
S1-178471187	S3-936779821	S3
S1-910526897	S2-731360832	S2
S1-910526897	S2-620820871	S2
S1-910526897	S2-876618843	S2
S1-910526897	S3-740537154	S3
S1-910526897	S3-445979127	S3
S1-910526897	S3-147648981	S3
S1-642059558	S2-205798567	S2
S1-642059558	S3-7204299	S3
S1-287191559	S2-989951402	S2
S1-516366640	S3-991017328	S3
S1-516366640	S3-584886682	S3
S1-516366640	S2-965056058	S2
S1-516366640	S2-275284554	S2
S1-833904625	S2-52522929	S2
S1-833904625	S2-397797935	S2
S1-833904625	S3-323111361	S3
S1-833904625	S3-254756275	S3
S1-833904625	S3-499043255	S3
S1-833904625	S2-572451939	S2
S1-425981032	S2-537289265	S2
S1-425981032	S3-912281682	S3
S1-425981032	S2-241386610	S2
S1-425981032	S3-4792615	S3
S1-425981032	S2-403834153	S2
S1-425981032	S2-789034418	S2
S1-734851410	S2-151308060	S2
S1-734851410	S3-557176192	S3
S1-734851410	S2-983594036	S2
S1-734851410	S3-158304607	S3
S1-431993897	S2-777244017	S2
S1-431993897	S3-577397816	S3
S1-203284471	S3-469362667	S3
S1-203284471	S2-750161158	S2
S1-203284471	S2-519362021	S2
S1-203284471	S2-154258976	S2
S1-203284471	S2-4045213	S2
S1-404995167	S2-878974315	S2
S1-404995167	S3-977252999	S3
S1-404995167	S2-784386291	S2
S1-404995167	S2-692204351	S2
S1-757666986	S3-163495015	S3
S1-757666986	S3-583108301	S3
S1-757666986	S3-668940681	S3
S1-757666986	S3-820184886	S3
S1-9043366	S2-551213894	S2
S1-9043366	S3-117317119	S3
S1-9043366	S3-261272840	S3
S1-9043366	S2-777389908	S2
S1-690849296	S2-120936020	S2
S1-690849296	S3-893835876	S3
S1-690849296	S3-969887051	S3
S1-690849296	S3-541145791	S3
S1-690849296	S2-166178434	S2
S1-381777317	S3-882240867	S3
S1-381777317	S3-460948453	S3
S1-381777317	S2-455308351	S2
S1-381777317	S3-296474056	S3
S1-797321509	S2-712462377	S2
S1-797321509	S3-88200898	S3
S1-797321509	S2-914148965	S2
S1-587008296	S3-126093058	S3
S1-587008296	S2-267793715	S2
S1-246037235	S3-90716239	S3
S1-246037235	S2-683025742	S2
S1-246037235	S2-126474071	S2
S1-726619436	S3-863072993	S3
S1-725289286	S3-39234258	S3
S1-725289286	S2-881613723	S2
S1-725289286	S2-955487339	S2
S1-725289286	S2-862868777	S2
S1-573310096	S3-511262475	S3
S1-573310096	S2-895896640	S2
S1-573310096	S3-972632097	S3
S1-573310096	S2-791790022	S2
S1-573310096	S3-61520698	S3
S1-573310096	S3-158601624	S3
S1-573310096	S2-761462798	S2
S1-240637747	S2-153943935	S2
S1-300703873	S2-136004507	S2
S1-300703873	S3-578122262	S3
S1-300703873	S2-417953899	S2
S1-300703873	S2-70655200	S2
S1-300703873	S2-784446477	S2
S1-300703873	S2-245819314	S2
S1-764734051	S3-929486397	S3
S1-764734051	S2-853958543	S2
S1-764734051	S3-281495819	S3
S1-764734051	S2-415436398	S2
S1-764734051	S3-327106332	S3
S1-764734051	S2-396284031	S2
S1-865083717	S3-449144823	S3
S1-865083717	S2-486556332	S2
S1-865083717	S3-153500227	S3
S1-865083717	S2-290405250	S2
S1-120775250	S2-105058030	S2
S1-120775250	S2-352607441	S2
S1-120775250	S3-738328936	S3
S1-120775250	S3-658260238	S3
S1-120775250	S3-61217742	S3
S1-120775250	S2-459038369	S2
S1-120775250	S2-891203438	S2
S1-334800733	S2-592854058	S2
S1-334800733	S3-965499963	S3
S1-334800733	S3-571794330	S3
S1-774249108	S2-659008083	S2
S1-774249108	S3-488346839	S3
S1-774249108	S2-942242671	S2
S1-774249108	S2-450721474	S2
S1-774249108	S3-751644206	S3
S1-84062269	S3-59966376	S3
S1-84062269	S3-634433496	S3
S1-84062269	S2-736995297	S2
S1-84062269	S3-605110106	S3
S1-84062269	S3-938005532	S3
S1-84062269	S2-504114129	S2
S1-710263396	S3-136846304	S3
S1-710263396	S2-244627806	S2
S1-710263396	S2-11762393	S2
S1-710263396	S3-45163596	S3
S1-87173790	S2-165988572	S2
S1-87173790	S3-95256272	S3
S1-87173790	S3-870839738	S3
S1-87173790	S2-308006652	S2
S1-184477046	S2-400423253	S2
S1-184477046	S2-830623057	S2
S1-184477046	S3-945506497	S3
S1-184477046	S2-832870502	S2
S1-37293427	S3-971859900	S3
S1-37293427	S2-461861194	S2
S1-37293427	S2-714083204	S2
S1-969284894	S2-465612627	S2
S1-969284894	S3-637780119	S3
S1-969284894	S3-199313485	S3
S1-81401734	S3-960087077	S3
S1-81401734	S3-733292925	S3
S1-81401734	S3-761535729	S3
S1-81401734	S2-449099768	S2
S1-81401734	S3-231550182	S3
S1-81401734	S3-26562969	S3
S1-591768260	S2-585483606	S2
S1-591768260	S2-307075273	S2
S1-591768260	S3-271737459	S3
S1-291654549	S3-90360043	S3
S1-291654549	S2-454835742	S2
S1-255672641	S3-704576439	S3
S1-255672641	S2-583269495	S2
S1-255672641	S3-585740460	S3
S1-255672641	S3-6520314	S3
S1-955872641	S3-511116961	S3
S1-955872641	S3-221733442	S3
S1-955872641	S2-800698372	S2
S1-955872641	S3-617305400	S3
S1-634246764	S3-37877993	S3
S1-634246764	S2-573624350	S2
S1-634246764	S3-30800438	S3
S1-634246764	S2-522891341	S2
S1-634246764	S3-197968601	S3
S1-634246764	S2-903664407	S2
S1-379068159	S3-58786125	S3
S1-379068159	S2-882266320	S2
S1-379068159	S3-677997730	S3
S1-379068159	S2-263261431	S2
S1-379068159	S2-666452575	S2
S1-379068159	S3-624119198	S3
S1-196860345	S2-760730678	S2
S1-196860345	S3-430987733	S3
S1-282010599	S2-365239630	S2
S1-282010599	S3-965019726	S3
S1-282010599	S2-278476324	S2
S1-282010599	S2-825196006	S2
S1-282010599	S2-221095485	S2
S1-584164456	S2-369022413	S2
S1-584164456	S3-69058435	S3
S1-584164456	S2-473005494	S2
S1-584164456	S3-96759990	S3
S1-584164456	S3-52356875	S3
S1-584164456	S3-815730569	S3
S1-584164456	S2-532541174	S2
S1-584164456	S3-953910280	S3
S1-571330233	S3-123729752	S3
S1-571330233	S3-776664857	S3
S1-571330233	S2-295471442	S2
S1-313435685	S3-55082573	S3
S1-313435685	S3-187765089	S3
S1-590078836	S3-906721613	S3
S1-590078836	S3-509178876	S3
S1-590078836	S2-905259801	S2
S1-590078836	S3-960839205	S3
S1-399632864	S2-626478740	S2
S1-399632864	S2-501697596	S2
S1-399632864	S3-933531165	S3
S1-399532884	S3-709095089	S3
S1-399532884	S2-99459072	S2
S1-399532884	S2-114208311	S2
S1-399532884	S2-568270220	S2
S1-399532884	S3-658866162	S3
S1-399532884	S2-189818352	S2
S1-4356385	S2-405211198	S2
S1-4356385	S2-586339418	S2
S1-865421786	S2-427695160	S2
S1-865421786	S3-713147661	S3
S1-865421786	S2-703907521	S2
S1-865421786	S2-120387148	S2
S1-380440613	S3-489633266	S3
S1-380440613	S2-380175887	S2
S1-380440613	S2-785434883	S2
S1-659596559	S2-313519411	S2
S1-659596559	S2-774382402	S2
S1-659596559	S3-287523609	S3
S1-52265317	S3-14685911	S3
S1-52265317	S3-701881371	S3
S1-52265317	S2-992664230	S2
S1-52265317	S3-235138832	S3
S1-52265317	S2-673233898	S2
S1-52265317	S2-900511820	S2
S1-52265317	S2-840981335	S2
S1-144062989	S3-130562636	S3
S1-144062989	S2-297552165	S2
S1-144062989	S3-608021501	S3
S1-595827937	S3-968254208	S3
S1-595827937	S2-831400533	S2
S1-595827937	S2-846596799	S2
S1-595827937	S3-333763183	S3
S1-172760152	S2-603235549	S2
S1-172760152	S2-418070446	S2
S1-172760152	S2-815665515	S2
S1-937622335	S2-165253318	S2
S1-937622335	S3-589670534	S3
S1-937622335	S3-570152494	S3
S1-937622335	S3-319850233	S3
S1-937622335	S3-46152706	S3
S1-951335082	S3-787459763	S3
S1-951335082	S2-854166611	S2
S1-364609105	S2-587365873	S2
S1-364609105	S3-296449238	S3
S1-364609105	S2-382412875	S2
S1-364609105	S3-865291363	S3
S1-491641613	S2-538252662	S2
S1-491641613	S3-231303629	S3
S1-491641613	S2-844468416	S2
S1-261272738	S3-367098569	S3
S1-261272738	S3-98033888	S3
S1-449165433	S2-54949218	S2
S1-449165433	S3-412036215	S3
S1-449165433	S2-349060226	S2
S1-449165433	S2-517421215	S2
S1-449165433	S2-177259065	S2
S1-449165433	S3-358128128	S3
S1-292060826	S2-830363510	S2
S1-292060826	S3-978532432	S3
S1-292060826	S2-942618094	S2
S1-158753049	S2-787565878	S2
S1-158753049	S2-988324866	S2
S1-158753049	S2-604264016	S2
S1-158753049	S2-350396364	S2
S1-158753049	S3-620804920	S3
S1-158753049	S3-460996033	S3
S1-410541222	S2-404024372	S2
S1-410541222	S3-838010749	S3
S1-246263835	S2-127490458	S2
S1-246263835	S2-347597212	S2
S1-595528482	S2-897700073	S2
S1-595528482	S3-714712507	S3
S1-595528482	S3-789669465	S3
S1-595528482	S3-356441967	S3
S1-418819901	S3-21842615	S3
S1-418819901	S3-641407652	S3
S1-418819901	S3-703891374	S3
S1-854477765	S2-437862720	S2
S1-854477765	S2-35929414	S2
S1-854477765	S2-964338873	S2
S1-854477765	S3-978477103	S3
S1-578897745	S3-866209976	S3
S1-578897745	S2-841646561	S2
S1-578897745	S2-253814852	S2
S1-578353639	S2-605501962	S2
S1-578353639	S3-947637879	S3
S1-870157197	S2-617998790	S2
S1-870157197	S2-757069892	S2
S1-870157197	S3-383043852	S3
S1-577018897	S3-927529142	S3
S1-577018897	S2-197540596	S2
S1-577018897	S3-423178749	S3
S1-577018897	S2-450611443	S2
S1-577018897	S3-176178476	S3
S1-880779015	S2-938019030	S2
S1-880779015	S3-725834655	S3
S1-251242475	S3-199758733	S3
S1-470276087	S2-862339021	S2
S1-470276087	S3-340337892	S3
S1-950663059	S2-686577933	S2
S1-950663059	S2-153144875	S2
S1-950663059	S2-77408978	S2
S1-83310042	S2-832315090	S2
S1-83310042	S3-908338232	S3
S1-565496391	S2-532856779	S2
S1-459231015	S2-82581375	S2
S1-459231015	S3-503680648	S3
S1-424723765	S3-943908800	S3
